NestedExtraction,AncestorExtraction,CCR
1,0,24
2,0,24
3,0,22
4,0,22
5,0,19
6,0,18
7,0,16
8,0,12
9,0,12
10,0,8
11,0,8
12,0,4
13,0,4
14,0,16
15,0,12
16,0,12
17,0,8
18,0,8
19,0,4
20,0,4
21,0,16
22,0,12
23,0,12
24,0,8
25,0,8
26,0,4
27,0,4
28,0,12
29,0,8
30,0,8
31,0,4
32,0,4
33,0,12
34,0,8
35,0,8
36,0,4
37,0,4
38,0,8
39,0,4
40,0,4
41,0,8
42,0,4
43,0,4
44,0,4
45,0,4
2,1,18
3,1,17
4,1,17
5,1,15
6,1,14
7,1,12
8,1,9
9,1,9
10,1,6
11,1,6
12,1,3
13,1,3
14,1,12
15,1,9
16,1,9
17,1,6
18,1,6
19,1,3
20,1,3
21,1,12
22,1,9
23,1,9
24,1,6
25,1,6
26,1,3
27,1,3
28,1,9
29,1,6
30,1,6
31,1,3
32,1,3
33,1,9
34,1,6
35,1,6
36,1,3
37,1,3
38,1,6
39,1,3
40,1,3
41,1,6
42,1,3
43,1,3
44,1,3
45,1,3
3,2,17
4,2,17
5,2,15
6,2,14
7,2,12
8,2,9
9,2,9
10,2,6
11,2,6
12,2,3
13,2,3
14,2,12
15,2,9
16,2,9
17,2,6
18,2,6
19,2,3
20,2,3
21,2,12
22,2,9
23,2,9
24,2,6
25,2,6
26,2,3
27,2,3
28,2,9
29,2,6
30,2,6
31,2,3
32,2,3
33,2,9
34,2,6
35,2,6
36,2,3
37,2,3
38,2,6
39,2,3
40,2,3
41,2,6
42,2,3
43,2,3
44,2,3
45,2,3
4,3,12
5,3,11
6,3,10
7,3,8
8,3,6
9,3,6
10,3,4
11,3,4
12,3,2
13,3,2
14,3,8
15,3,6
16,3,6
17,3,4
18,3,4
19,3,2
20,3,2
21,3,8
22,3,6
23,3,6
24,3,4
25,3,4
26,3,2
27,3,2
28,3,6
29,3,4
30,3,4
31,3,2
32,3,2
33,3,6
34,3,4
35,3,4
36,3,2
37,3,2
38,3,4
39,3,2
40,3,2
41,3,4
42,3,2
43,3,2
44,3,2
45,3,2
5,4,11
6,4,10
7,4,8
8,4,6
9,4,6
10,4,4
11,4,4
12,4,2
13,4,2
14,4,8
15,4,6
16,4,6
17,4,4
18,4,4
19,4,2
20,4,2
21,4,8
22,4,6
23,4,6
24,4,4
25,4,4
26,4,2
27,4,2
28,4,6
29,4,4
30,4,4
31,4,2
32,4,2
33,4,6
34,4,4
35,4,4
36,4,2
37,4,2
38,4,4
39,4,2
40,4,2
41,4,4
42,4,2
43,4,2
44,4,2
45,4,2
6,5,10
7,5,8
8,5,6
9,5,6
10,5,4
11,5,4
12,5,2
13,5,2
14,5,8
15,5,6
16,5,6
17,5,4
18,5,4
19,5,2
20,5,2
21,5,8
22,5,6
23,5,6
24,5,4
25,5,4
26,5,2
27,5,2
28,5,6
29,5,4
30,5,4
31,5,2
32,5,2
33,5,6
34,5,4
35,5,4
36,5,2
37,5,2
38,5,4
39,5,2
40,5,2
41,5,4
42,5,2
43,5,2
44,5,2
45,5,2
7,6,8
8,6,6
9,6,6
10,6,4
11,6,4
12,6,2
13,6,2
14,6,8
15,6,6
16,6,6
17,6,4
18,6,4
19,6,2
20,6,2
21,6,8
22,6,6
23,6,6
24,6,4
25,6,4
26,6,2
27,6,2
28,6,6
29,6,4
30,6,4
31,6,2
32,6,2
33,6,6
34,6,4
35,6,4
36,6,2
37,6,2
38,6,4
39,6,2
40,6,2
41,6,4
42,6,2
43,6,2
44,6,2
45,6,2
8,7,3
9,7,3
10,7,2
11,7,2
12,7,1
13,7,1
14,7,4
15,7,3
16,7,3
17,7,2
18,7,2
19,7,1
20,7,1
21,7,4
22,7,3
23,7,3
24,7,2
25,7,2
26,7,1
27,7,1
28,7,3
29,7,2
30,7,2
31,7,1
32,7,1
33,7,3
34,7,2
35,7,2
36,7,1
37,7,1
38,7,2
39,7,1
40,7,1
41,7,2
42,7,1
43,7,1
44,7,1
45,7,1
9,8,3
10,8,2
11,8,2
12,8,1
13,8,1
15,8,3
16,8,3
17,8,2
18,8,2
19,8,1
20,8,1
22,8,3
23,8,3
24,8,2
25,8,2
26,8,1
27,8,1
29,8,2
30,8,2
31,8,1
32,8,1
34,8,2
35,8,2
36,8,1
37,8,1
39,8,1
40,8,1
42,8,1
43,8,1
10,9,2
11,9,2
12,9,1
13,9,1
16,9,3
17,9,2
18,9,2
19,9,1
20,9,1
23,9,3
24,9,2
25,9,2
26,9,1
27,9,1
30,9,2
31,9,1
32,9,1
35,9,2
36,9,1
37,9,1
40,9,1
43,9,1
11,10,2
12,10,1
13,10,1
17,10,2
18,10,2
19,10,1
20,10,1
24,10,2
25,10,2
26,10,1
27,10,1
31,10,1
32,10,1
36,10,1
37,10,1
12,11,1
13,11,1
18,11,2
19,11,1
20,11,1
25,11,2
26,11,1
27,11,1
32,11,1
37,11,1
13,12,1
19,12,1
20,12,1
26,12,1
27,12,1
20,13,1
27,13,1
15,14,3
16,14,3
17,14,2
18,14,2
19,14,1
20,14,1
21,14,4
22,14,3
23,14,3
24,14,2
25,14,2
26,14,1
27,14,1
28,14,3
29,14,2
30,14,2
31,14,1
32,14,1
33,14,3
34,14,2
35,14,2
36,14,1
37,14,1
38,14,2
39,14,1
40,14,1
41,14,2
42,14,1
43,14,1
44,14,1
45,14,1
16,15,3
17,15,2
18,15,2
19,15,1
20,15,1
22,15,3
23,15,3
24,15,2
25,15,2
26,15,1
27,15,1
29,15,2
30,15,2
31,15,1
32,15,1
34,15,2
35,15,2
36,15,1
37,15,1
39,15,1
40,15,1
42,15,1
43,15,1
17,16,2
18,16,2
19,16,1
20,16,1
23,16,3
24,16,2
25,16,2
26,16,1
27,16,1
30,16,2
31,16,1
32,16,1
35,16,2
36,16,1
37,16,1
40,16,1
43,16,1
18,17,2
19,17,1
20,17,1
24,17,2
25,17,2
26,17,1
27,17,1
31,17,1
32,17,1
36,17,1
37,17,1
19,18,1
20,18,1
25,18,2
26,18,1
27,18,1
32,18,1
37,18,1
20,19,1
26,19,1
27,19,1
27,20,1
22,21,3
23,21,3
24,21,2
25,21,2
26,21,1
27,21,1
28,21,3
29,21,2
30,21,2
31,21,1
32,21,1
33,21,3
34,21,2
35,21,2
36,21,1
37,21,1
38,21,2
39,21,1
40,21,1
41,21,2
42,21,1
43,21,1
44,21,1
45,21,1
23,22,3
24,22,2
25,22,2
26,22,1
27,22,1
29,22,2
30,22,2
31,22,1
32,22,1
34,22,2
35,22,2
36,22,1
37,22,1
39,22,1
40,22,1
42,22,1
43,22,1
24,23,2
25,23,2
26,23,1
27,23,1
30,23,2
31,23,1
32,23,1
35,23,2
36,23,1
37,23,1
40,23,1
43,23,1
25,24,2
26,24,1
27,24,1
31,24,1
32,24,1
36,24,1
37,24,1
26,25,1
27,25,1
32,25,1
37,25,1
27,26,1
29,28,2
30,28,2
31,28,1
32,28,1
33,28,3
34,28,2
35,28,2
36,28,1
37,28,1
38,28,2
39,28,1
40,28,1
41,28,2
42,28,1
43,28,1
44,28,1
45,28,1
30,29,2
31,29,1
32,29,1
34,29,2
35,29,2
36,29,1
37,29,1
39,29,1
40,29,1
42,29,1
43,29,1
31,30,1
32,30,1
35,30,2
36,30,1
37,30,1
40,30,1
43,30,1
32,31,1
36,31,1
37,31,1
37,32,1
34,33,2
35,33,2
36,33,1
37,33,1
38,33,2
39,33,1
40,33,1
41,33,2
42,33,1
43,33,1
44,33,1
45,33,1
35,34,2
36,34,1
37,34,1
39,34,1
40,34,1
42,34,1
43,34,1
36,35,1
37,35,1
40,35,1
43,35,1
37,36,1
39,38,1
40,38,1
41,38,2
42,38,1
43,38,1
44,38,1
45,38,1
40,39,1
42,39,1
43,39,1
43,40,1
42,41,1
43,41,1
44,41,1
45,41,1
43,42,1
45,44,1
