NestedExtraction,AncestorExtraction,CCR
1,0,24
2,0,22
3,0,22
4,0,22
5,0,22
6,0,22
7,0,22
8,0,3
9,0,3
10,0,3
11,0,3
12,0,3
13,0,3
14,0,16
15,0,4
16,0,16
17,0,4
18,0,12
19,0,4
20,0,4
2,1,16
3,1,16
4,1,16
5,1,16
6,1,16
7,1,16
8,1,2
9,1,2
10,1,2
11,1,2
12,1,2
13,1,2
14,1,12
15,1,3
16,1,12
17,1,3
18,1,9
19,1,3
20,1,3
3,2,16
4,2,16
5,2,16
6,2,16
7,2,16
8,2,2
9,2,2
10,2,2
11,2,2
12,2,2
13,2,2
14,2,12
15,2,3
16,2,12
17,2,3
18,2,9
19,2,3
20,2,3
4,3,16
6,3,16
7,3,16
8,3,2
9,3,2
10,3,2
11,3,2
12,3,2
13,3,2
14,3,12
15,3,3
16,3,12
17,3,3
18,3,9
19,3,3
20,3,3
7,4,16
8,4,2
9,4,2
10,4,2
11,4,2
12,4,2
13,4,2
14,4,12
15,4,3
16,4,12
17,4,3
18,4,9
19,4,3
20,4,3
6,5,16
7,5,16
8,5,2
9,5,2
10,5,2
11,5,2
12,5,2
13,5,2
14,5,12
15,5,3
16,5,12
17,5,3
18,5,9
19,5,3
20,5,3
7,6,16
8,6,2
9,6,2
10,6,2
11,6,2
12,6,2
13,6,2
14,6,12
15,6,3
16,6,12
17,6,3
18,6,9
19,6,3
20,6,3
8,7,2
9,7,2
10,7,2
11,7,2
12,7,2
13,7,2
14,7,12
15,7,3
16,7,12
17,7,3
18,7,9
19,7,3
20,7,3
9,8,1
10,8,1
11,8,1
12,8,1
13,8,1
11,9,1
13,9,1
11,10,1
12,10,1
13,10,1
13,11,1
13,12,1
15,14,2
16,14,8
17,14,2
18,14,6
19,14,2
20,14,2
17,15,2
17,16,2
18,16,6
19,16,2
20,16,2
19,18,2
20,18,2
