NestedExtraction,AncestorExtraction,CCR
1,0,39
2,0,22
3,0,5
4,0,4
5,0,3
6,0,2
7,0,45
8,0,39
9,0,39
10,0,22
11,0,5
12,0,4
13,0,3
14,0,3
15,0,2
16,0,2
17,0,43
18,0,37
19,0,37
20,0,20
21,0,3
22,0,2
23,0,1
24,0,1
25,0,43
26,0,37
27,0,37
28,0,20
29,0,3
30,0,2
31,0,1
32,0,1
33,0,42
34,0,36
35,0,36
36,0,19
37,0,2
38,0,1
39,0,42
40,0,36
41,0,36
42,0,19
43,0,2
44,0,1
45,0,41
46,0,35
47,0,35
48,0,18
49,0,1
50,0,40
51,0,34
52,0,34
53,0,17
54,0,16
55,0,16
56,0,14
57,0,14
58,0,6
59,0,6
60,0,6
61,0,1
62,0,4
63,0,4
64,0,23
65,0,17
66,0,17
67,0,16
68,0,16
69,0,14
70,0,14
71,0,6
72,0,6
73,0,6
74,0,1
75,0,4
76,0,4
77,0,6
78,0,6
79,0,5
80,0,5
81,0,3
2,1,22
3,1,5
4,1,4
5,1,3
6,1,2
9,1,39
10,1,22
11,1,5
12,1,4
13,1,3
14,1,3
15,1,2
16,1,2
19,1,37
20,1,20
21,1,3
22,1,2
23,1,1
24,1,1
27,1,37
28,1,20
29,1,3
30,1,2
31,1,1
32,1,1
35,1,36
36,1,19
37,1,2
38,1,1
41,1,36
42,1,19
43,1,2
44,1,1
47,1,35
48,1,18
49,1,1
52,1,34
53,1,17
54,1,16
55,1,16
56,1,14
57,1,14
58,1,6
59,1,6
60,1,6
61,1,1
62,1,4
63,1,4
66,1,17
67,1,16
68,1,16
69,1,14
70,1,14
71,1,6
72,1,6
73,1,6
74,1,1
75,1,4
76,1,4
3,2,5
4,2,4
5,2,3
6,2,2
10,2,22
11,2,5
12,2,4
13,2,3
14,2,3
15,2,2
16,2,2
20,2,20
21,2,3
22,2,2
23,2,1
24,2,1
28,2,20
29,2,3
30,2,2
31,2,1
32,2,1
36,2,19
37,2,2
38,2,1
42,2,19
43,2,2
44,2,1
48,2,18
49,2,1
53,2,17
54,2,16
55,2,16
56,2,14
57,2,14
58,2,6
59,2,6
60,2,6
61,2,1
62,2,4
63,2,4
4,3,4
5,3,3
6,3,2
11,3,5
12,3,4
13,3,3
14,3,3
15,3,2
16,3,2
21,3,3
22,3,2
23,3,1
24,3,1
29,3,3
30,3,2
31,3,1
32,3,1
37,3,2
38,3,1
43,3,2
44,3,1
49,3,1
5,4,3
6,4,2
12,4,4
13,4,3
14,4,3
15,4,2
16,4,2
22,4,2
23,4,1
24,4,1
30,4,2
31,4,1
32,4,1
38,4,1
44,4,1
6,5,2
14,5,3
15,5,2
16,5,2
24,5,1
32,5,1
16,6,2
8,7,39
9,7,39
10,7,22
11,7,5
12,7,4
13,7,3
14,7,3
15,7,2
16,7,2
17,7,43
18,7,37
19,7,37
20,7,20
21,7,3
22,7,2
23,7,1
24,7,1
25,7,43
26,7,37
27,7,37
28,7,20
29,7,3
30,7,2
31,7,1
32,7,1
33,7,42
34,7,36
35,7,36
36,7,19
37,7,2
38,7,1
39,7,42
40,7,36
41,7,36
42,7,19
43,7,2
44,7,1
45,7,41
46,7,35
47,7,35
48,7,18
49,7,1
50,7,40
51,7,34
52,7,34
53,7,17
54,7,16
55,7,16
56,7,14
57,7,14
58,7,6
59,7,6
60,7,6
61,7,1
62,7,4
63,7,4
64,7,23
65,7,17
66,7,17
67,7,16
68,7,16
69,7,14
70,7,14
71,7,6
72,7,6
73,7,6
74,7,1
75,7,4
76,7,4
77,7,6
78,7,6
79,7,5
80,7,5
81,7,3
9,8,39
10,8,22
11,8,5
12,8,4
13,8,3
14,8,3
15,8,2
16,8,2
18,8,37
19,8,37
20,8,20
21,8,3
22,8,2
23,8,1
24,8,1
26,8,37
27,8,37
28,8,20
29,8,3
30,8,2
31,8,1
32,8,1
34,8,36
35,8,36
36,8,19
37,8,2
38,8,1
40,8,36
41,8,36
42,8,19
43,8,2
44,8,1
46,8,35
47,8,35
48,8,18
49,8,1
51,8,34
52,8,34
53,8,17
54,8,16
55,8,16
56,8,14
57,8,14
58,8,6
59,8,6
60,8,6
61,8,1
62,8,4
63,8,4
65,8,17
66,8,17
67,8,16
68,8,16
69,8,14
70,8,14
71,8,6
72,8,6
73,8,6
74,8,1
75,8,4
76,8,4
10,9,22
11,9,5
12,9,4
13,9,3
14,9,3
15,9,2
16,9,2
19,9,37
20,9,20
21,9,3
22,9,2
23,9,1
24,9,1
27,9,37
28,9,20
29,9,3
30,9,2
31,9,1
32,9,1
35,9,36
36,9,19
37,9,2
38,9,1
41,9,36
42,9,19
43,9,2
44,9,1
47,9,35
48,9,18
49,9,1
52,9,34
53,9,17
54,9,16
55,9,16
56,9,14
57,9,14
58,9,6
59,9,6
60,9,6
61,9,1
62,9,4
63,9,4
66,9,17
67,9,16
68,9,16
69,9,14
70,9,14
71,9,6
72,9,6
73,9,6
74,9,1
75,9,4
76,9,4
11,10,5
12,10,4
13,10,3
14,10,3
15,10,2
16,10,2
20,10,20
21,10,3
22,10,2
23,10,1
24,10,1
28,10,20
29,10,3
30,10,2
31,10,1
32,10,1
36,10,19
37,10,2
38,10,1
42,10,19
43,10,2
44,10,1
48,10,18
49,10,1
53,10,17
54,10,16
55,10,16
56,10,14
57,10,14
58,10,6
59,10,6
60,10,6
61,10,1
62,10,4
63,10,4
12,11,4
13,11,3
14,11,3
15,11,2
16,11,2
21,11,3
22,11,2
23,11,1
24,11,1
29,11,3
30,11,2
31,11,1
32,11,1
37,11,2
38,11,1
43,11,2
44,11,1
49,11,1
13,12,3
14,12,3
15,12,2
16,12,2
22,12,2
23,12,1
24,12,1
30,12,2
31,12,1
32,12,1
38,12,1
44,12,1
14,13,3
15,13,2
16,13,2
23,13,1
24,13,1
31,13,1
32,13,1
15,14,2
16,14,2
24,14,1
32,14,1
16,15,2
18,17,37
19,17,37
20,17,20
21,17,3
22,17,2
23,17,1
24,17,1
25,17,43
26,17,37
27,17,37
28,17,20
29,17,3
30,17,2
31,17,1
32,17,1
33,17,42
34,17,36
35,17,36
36,17,19
37,17,2
38,17,1
39,17,42
40,17,36
41,17,36
42,17,19
43,17,2
44,17,1
45,17,41
46,17,35
47,17,35
48,17,18
49,17,1
50,17,40
51,17,34
52,17,34
53,17,17
54,17,16
55,17,16
56,17,14
57,17,14
58,17,6
59,17,6
60,17,6
61,17,1
62,17,4
63,17,4
64,17,23
65,17,17
66,17,17
67,17,16
68,17,16
69,17,14
70,17,14
71,17,6
72,17,6
73,17,6
74,17,1
75,17,4
76,17,4
77,17,6
78,17,6
79,17,5
80,17,5
81,17,3
19,18,37
20,18,20
21,18,3
22,18,2
23,18,1
24,18,1
26,18,37
27,18,37
28,18,20
29,18,3
30,18,2
31,18,1
32,18,1
34,18,36
35,18,36
36,18,19
37,18,2
38,18,1
40,18,36
41,18,36
42,18,19
43,18,2
44,18,1
46,18,35
47,18,35
48,18,18
49,18,1
51,18,34
52,18,34
53,18,17
54,18,16
55,18,16
56,18,14
57,18,14
58,18,6
59,18,6
60,18,6
61,18,1
62,18,4
63,18,4
65,18,17
66,18,17
67,18,16
68,18,16
69,18,14
70,18,14
71,18,6
72,18,6
73,18,6
74,18,1
75,18,4
76,18,4
20,19,20
21,19,3
22,19,2
23,19,1
24,19,1
27,19,37
28,19,20
29,19,3
30,19,2
