extraction,extractedLOC,extractedMethodCC,parameters
0,74,45,1
1,61,39,1
2,38,22,1
3,15,5,1
4,13,4,1
5,9,3,1
6,4,2,1
7,73,45,2
8,63,39,2
9,60,39,2
10,37,22,2
11,14,5,2
12,12,4,2
13,9,3,2
14,8,3,2
15,5,2,2
16,3,2,1
17,69,43,2
18,59,37,2
19,56,37,2
20,33,20,2
21,10,3,2
22,8,2,2
23,5,1,2
24,4,1,2
25,68,43,3
26,58,37,3
27,55,37,3
28,32,20,3
29,9,3,3
30,7,2,3
31,4,1,3
32,3,1,1
33,65,42,2
34,55,36,2
35,52,36,2
36,29,19,2
37,6,2,2
38,4,1,2
39,64,42,3
40,54,36,3
41,51,36,3
42,28,19,3
43,5,2,1
44,3,1,1
45,61,41,2
46,51,35,2
47,48,35,2
48,25,18,2
49,2,1,0
50,57,40,2
51,47,34,2
52,44,34,2
53,21,17,2
54,19,12,2
55,18,12,2
56,16,8,2
57,14,8,3
58,7,3,2
59,6,3,3
60,5,3,2
61,3,1,1
62,4,1,2
63,3,1,1
64,34,23,2
65,24,17,2
66,21,17,2
67,19,12,2
68,18,12,2
69,16,8,2
70,14,8,3
71,7,3,2
72,6,3,3
73,5,3,2
74,3,1,1
75,4,1,2
76,3,1,1
77,11,6,2
78,10,6,2
79,8,3,2
80,7,3,2
81,5,1,2
