NestedExtraction,AncestorExtraction,CCR
1,0,16
2,0,14
3,0,14
4,0,14
5,0,14
6,0,14
7,0,14
8,0,2
9,0,14
10,0,14
11,0,4
12,0,2
13,0,2
14,0,12
15,0,12
16,0,2
17,0,12
18,0,12
19,0,2
20,0,2
21,0,10
22,0,10
23,0,10
24,0,10
25,0,2
26,0,2
27,0,10
28,0,10
29,0,2
30,0,2
31,0,8
32,0,8
33,0,8
34,0,8
35,0,6
36,0,6
37,0,3
38,0,6
39,0,6
40,0,3
41,0,3
42,0,3
2,1,14
3,1,14
4,1,14
5,1,14
6,1,14
7,1,14
8,1,2
9,1,14
10,1,14
11,1,4
12,1,2
13,1,2
14,1,12
15,1,12
16,1,2
17,1,12
18,1,12
19,1,2
20,1,2
21,1,10
22,1,10
23,1,10
24,1,10
25,1,2
26,1,2
27,1,10
28,1,10
29,1,2
30,1,2
31,1,8
32,1,8
33,1,8
34,1,8
35,1,6
36,1,6
37,1,3
38,1,6
39,1,6
40,1,3
41,1,3
42,1,3
3,2,8
4,2,8
5,2,8
6,2,8
7,2,8
8,2,1
9,2,8
10,2,8
11,2,2
12,2,1
13,2,1
14,2,7
15,2,7
16,2,1
17,2,7
18,2,7
19,2,1
20,2,1
21,2,6
22,2,6
23,2,6
24,2,6
25,2,1
26,2,1
27,2,6
28,2,6
29,2,1
30,2,1
31,2,5
32,2,5
33,2,5
34,2,5
35,2,4
36,2,4
37,2,2
38,2,4
39,2,4
40,2,2
41,2,2
42,2,2
5,3,8
7,3,8
8,3,1
10,3,8
11,3,2
12,3,1
13,3,1
15,3,7
16,3,1
18,3,7
19,3,1
20,3,1
22,3,6
24,3,6
25,3,1
26,3,1
28,3,6
29,3,1
30,3,1
32,3,5
34,3,5
35,3,4
36,3,4
37,3,2
38,3,4
39,3,4
40,3,2
41,3,2
42,3,2
5,4,8
6,4,8
7,4,8
8,4,1
9,4,8
10,4,8
11,4,2
12,4,1
13,4,1
14,4,7
15,4,7
16,4,1
17,4,7
18,4,7
19,4,1
20,4,1
21,4,6
22,4,6
23,4,6
24,4,6
25,4,1
26,4,1
27,4,6
28,4,6
29,4,1
30,4,1
31,4,5
32,4,5
33,4,5
34,4,5
35,4,4
36,4,4
37,4,2
38,4,4
39,4,4
40,4,2
41,4,2
42,4,2
7,5,8
8,5,1
10,5,8
11,5,2
12,5,1
13,5,1
15,5,7
16,5,1
18,5,7
19,5,1
20,5,1
22,5,6
24,5,6
25,5,1
26,5,1
28,5,6
29,5,1
30,5,1
32,5,5
34,5,5
35,5,4
36,5,4
37,5,2
38,5,4
39,5,4
40,5,2
41,5,2
42,5,2
7,6,8
8,6,1
9,6,8
10,6,8
11,6,2
12,6,1
13,6,1
14,6,7
15,6,7
16,6,1
17,6,7
18,6,7
19,6,1
20,6,1
21,6,6
22,6,6
23,6,6
24,6,6
25,6,1
26,6,1
27,6,6
28,6,6
29,6,1
30,6,1
31,6,5
32,6,5
33,6,5
34,6,5
35,6,4
36,6,4
37,6,2
38,6,4
39,6,4
40,6,2
41,6,2
42,6,2
8,7,1
10,7,8
11,7,2
12,7,1
13,7,1
15,7,7
16,7,1
18,7,7
19,7,1
20,7,1
22,7,6
24,7,6
25,7,1
26,7,1
28,7,6
29,7,1
30,7,1
32,7,5
34,7,5
35,7,4
36,7,4
37,7,2
38,7,4
39,7,4
40,7,2
41,7,2
42,7,2
13,8,1
10,9,8
11,9,2
12,9,1
13,9,1
14,9,7
15,9,7
16,9,1
17,9,7
18,9,7
19,9,1
20,9,1
21,9,6
22,9,6
23,9,6
24,9,6
25,9,1
26,9,1
27,9,6
28,9,6
29,9,1
30,9,1
31,9,5
32,9,5
33,9,5
34,9,5
35,9,4
36,9,4
37,9,2
38,9,4
39,9,4
40,9,2
41,9,2
42,9,2
11,10,2
12,10,1
13,10,1
15,10,7
16,10,1
18,10,7
19,10,1
20,10,1
22,10,6
24,10,6
25,10,1
26,10,1
28,10,6
29,10,1
30,10,1
32,10,5
34,10,5
35,10,4
36,10,4
37,10,2
38,10,4
39,10,4
40,10,2
41,10,2
42,10,2
12,11,1
13,11,1
16,11,1
20,11,1
13,12,1
15,14,7
16,14,1
17,14,7
18,14,7
19,14,1
20,14,1
21,14,6
22,14,6
23,14,6
24,14,6
25,14,1
26,14,1
27,14,6
28,14,6
29,14,1
30,14,1
31,14,5
32,14,5
33,14,5
34,14,5
35,14,4
36,14,4
37,14,2
38,14,4
39,14,4
40,14,2
41,14,2
42,14,2
16,15,1
18,15,7
19,15,1
20,15,1
22,15,6
24,15,6
25,15,1
26,15,1
28,15,6
29,15,1
30,15,1
32,15,5
34,15,5
35,15,4
36,15,4
37,15,2
38,15,4
39,15,4
40,15,2
41,15,2
42,15,2
20,16,1
18,17,7
19,17,1
20,17,1
21,17,6
22,17,6
23,17,6
24,17,6
25,17,1
26,17,1
27,17,6
28,17,6
29,17,1
30,17,1
31,17,5
32,17,5
33,17,5
34,17,5
35,17,4
36,17,4
37,17,2
38,17,4
39,17,4
40,17,2
41,17,2
42,17,2
19,18,1
20,18,1
22,18,6
24,18,6
25,18,1
26,18,1
28,18,6
29,18,1
30,18,1
32,18,5
34,18,5
35,18,4
36,18,4
37,18,2
38,18,4
39,18,4
40,18,2
41,18,2
42,18,2
20,19,1
22,21,6
23,21,6
24,21,6
25,21,1
26,21,1
27,21,6
28,21,6
29,21,1
30,21,1
31,21,5
32,21,5
33,21,5
34,21,5
35,21,4
36,21,4
37,21,2
38,21,4
39,21,4
40,21,2
41,21,2
42,21,2
24,22,6
25,22,1
26,22,1
28,22,6
29,22,1
30,22,1
32,22,5
34,22,5
35,22,4
36,22,4
37,22,2
38,22,4
39,22,4
40,22,2
41,22,2
42,22,2
24,23,6
25,23,1
26,23,1
27,23,6
28,23,6
29,23,1
30,23,1
31,23,5
32,23,5
33,23,5
34,23,5
35,23,4
36,23,4
37,23,2
38,23,4
39,23,4
40,23,2
41,23,2
42,23,2
25,24,1
26,24,1
28,24,6
29,24,1
30,24,1
32,24,5
34,24,5
35,24,4
36,24,4
37,24,2
38,24,4
39,24,4
40,24,2
41,24,2
42,24,2
26,25,1
29,25,1
30,25,1
30,26,1
28,27,6
29,27,1
30,27,1
31,27,5
32,27,5
33,27,5
34,27,5
35,27,4
36,27,4
37,27,2
38,27,4
39,27,4
40,27,2
41,27,2
42,27,2
29,28,1
30,28,1
32,28,5
34,28,5
35,28,4
36,28,4
37,28,2
38,28,4
39,28,4
40,28,2
41,28,2
42,28,2
30,29,1
32,31,5
33,31,5
34,31,5
35,31,4
36,31,4
37,31,2
38,31,4
39,31,4
40,31,2
41,31,2
42,31,2
34,32,5
35,32,4
36,32,4
37,32,2
38,32,4
39,32,4
40,32,2
41,32,2
42,32,2
34,33,5
35,33,4
36,33,4
37,33,2
38,33,4
39,33,4
