ExtractionA,ExtractionB
5,16
5,28
5,39
5,49
5,59
5,67
5,74
5,80
5,85
5,89
5,92
6,16
6,17
6,28
6,29
6,39
6,40
6,49
6,50
6,59
6,60
6,67
6,68
6,74
6,75
6,80
6,81
6,85
6,86
6,89
6,90
7,16
7,17
7,18
7,28
7,29
7,30
7,39
7,40
7,41
7,49
7,50
7,51
7,59
7,60
7,61
7,67
7,68
7,69
7,74
7,75
7,76
7,80
7,81
7,82
7,85
7,86
7,87
8,16
8,17
8,18
8,19
8,28
8,29
8,30
8,31
8,39
8,40
8,41
8,42
8,49
8,50
8,51
8,52
8,59
8,60
8,61
8,62
8,67
8,68
8,69
8,70
8,74
8,75
8,76
8,77
8,80
8,81
8,82
8,83
9,16
9,17
9,18
9,19
9,20
9,28
9,29
9,30
9,31
9,32
9,39
9,40
9,41
9,42
9,43
9,49
9,50
9,51
9,52
9,53
9,59
9,60
9,61
9,62
9,63
9,67
9,68
9,69
9,70
9,71
9,74
9,75
9,76
9,77
9,78
10,16
10,17
10,18
10,19
10,20
10,21
10,28
10,29
10,30
10,31
10,32
10,33
10,39
10,40
10,41
10,42
10,43
10,44
10,49
10,50
10,51
10,52
10,53
10,54
10,59
10,60
10,61
10,62
10,63
10,64
10,67
10,68
10,69
10,70
10,71
10,72
11,16
11,17
11,18
11,19
11,20
11,21
11,22
11,28
11,29
11,30
11,31
11,32
11,33
11,34
11,39
11,40
11,41
11,42
11,43
11,44
11,45
11,49
11,50
11,51
11,52
11,53
11,54
11,55
11,59
11,60
11,61
11,62
11,63
11,64
11,65
12,16
12,17
12,18
12,19
12,20
12,21
12,22
12,23
12,28
12,29
12,30
12,31
12,32
12,33
12,34
12,35
12,39
12,40
12,41
12,42
12,43
12,44
12,45
12,46
12,49
12,50
12,51
12,52
12,53
12,54
12,55
12,56
13,16
13,17
13,18
13,19
13,20
13,21
13,22
13,23
13,24
13,28
13,29
13,30
13,31
13,32
13,33
13,34
13,35
13,36
13,39
13,40
13,41
13,42
13,43
13,44
13,45
13,46
13,47
14,16
14,17
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
14,28
14,29
14,30
14,31
14,32
14,33
14,34
14,35
14,36
14,37
15,16
15,17
15,18
15,19
15,20
15,21
15,22
15,23
15,24
15,25
15,26
17,28
17,39
17,49
17,59
17,67
17,74
17,80
17,85
17,89
17,92
18,28
18,29
18,39
18,40
18,49
18,50
18,59
18,60
18,67
18,68
18,74
18,75
18,80
18,81
18,85
18,86
18,89
18,90
19,28
19,29
19,30
19,39
19,40
19,41
19,49
19,50
19,51
19,59
19,60
19,61
19,67
19,68
19,69
19,74
19,75
19,76
19,80
19,81
19,82
19,85
19,86
19,87
20,28
20,29
20,30
20,31
20,39
20,40
20,41
20,42
20,49
20,50
20,51
20,52
20,59
20,60
20,61
20,62
20,67
20,68
20,69
20,70
20,74
20,75
20,76
20,77
20,80
20,81
20,82
20,83
21,28
21,29
21,30
21,31
21,32
21,39
21,40
21,41
21,42
21,43
21,49
21,50
21,51
21,52
21,53
21,59
21,60
21,61
21,62
21,63
21,67
21,68
21,69
21,70
21,71
21,74
21,75
21,76
21,77
21,78
22,28
22,29
22,30
22,31
22,32
22,33
22,39
22,40
22,41
22,42
22,43
22,44
22,49
22,50
22,51
22,52
22,53
22,54
22,59
22,60
22,61
22,62
22,63
22,64
22,67
22,68
22,69
22,70
22,71
22,72
23,28
23,29
23,30
23,31
23,32
23,33
23,34
23,39
23,40
23,41
23,42
23,43
23,44
23,45
23,49
23,50
23,51
23,52
23,53
23,54
23,55
23,59
23,60
23,61
23,62
23,63
23,64
23,65
24,28
24,29
24,30
24,31
24,32
24,33
24,34
24,35
24,39
24,40
24,41
24,42
24,43
24,44
24,45
24,46
24,49
24,50
24,51
24,52
24,53
24,54
24,55
24,56
25,28
25,29
25,30
25,31
25,32
25,33
25,34
25,35
25,36
25,39
25,40
25,41
25,42
25,43
25,44
25,45
25,46
25,47
26,28
26,29
26,30
26,31
26,32
26,33
26,34
26,35
26,36
26,37
29,39
29,49
29,59
29,67
29,74
29,80
29,85
29,89
29,92
30,39
30,40
30,49
30,50
30,59
30,60
30,67
30,68
30,74
30,75
30,80
30,81
30,85
30,86
30,89
30,90
31,39
31,40
31,41
31,49
31,50
31,51
31,59
31,60
31,61
31,67
31,68
31,69
31,74
31,75
31,76
31,80
31,81
31,82
31,85
31,86
31,87
32,39
32,40
32,41
32,42
32,49
32,50
32,51
32,52
32,59
32,60
32,61
32,62
32,67
32,68
32,69
32,70
32,74
32,75
32,76
32,77
32,80
32,81
32,82
32,83
33,39
33,40
33,41
33,42
33,43
33,49
33,50
33,51
33,52
33,53
33,59
33,60
33,61
33,62
33,63
33,67
33,68
33,69
33,70
