extraction,A,B
0,24017,26461
1,24039,26461
2,24090,26451
3,24140,26451
4,24228,26437
5,24228,26278
6,24228,26120
7,24228,25962
8,24228,25734
9,24228,25497
10,24228,25323
11,24228,25166
12,24228,24939
13,24228,24685
14,24228,24540
15,24228,24396
16,24297,26437
17,24297,26278
18,24297,26120
19,24297,25962
20,24297,25734
21,24297,25497
22,24297,25323
23,24297,25166
24,24297,24939
25,24297,24685
26,24297,24540
27,24297,24396
28,24413,26437
29,24413,26278
30,24413,26120
31,24413,25962
32,24413,25734
33,24413,25497
34,24413,25323
35,24413,25166
36,24413,24939
37,24413,24685
38,24413,24540
39,24557,26437
40,24557,26278
41,24557,26120
42,24557,25962
43,24557,25734
44,24557,25497
45,24557,25323
46,24557,25166
47,24557,24939
48,24557,24685
49,24702,26437
50,24702,26278
51,24702,26120
52,24702,25962
53,24702,25734
54,24702,25497
55,24702,25323
56,24702,25166
57,24702,24939
58,24836,24939
59,25026,26437
60,25026,26278
61,25026,26120
62,25026,25962
63,25026,25734
64,25026,25497
65,25026,25323
66,25026,25166
67,25183,26437
68,25183,26278
69,25183,26120
70,25183,25962
71,25183,25734
72,25183,25497
73,25183,25323
74,25340,26437
75,25340,26278
76,25340,26120
77,25340,25962
78,25340,25734
79,25340,25497
80,25514,26437
81,25514,26278
82,25514,26120
83,25514,25962
84,25514,25734
85,25751,26437
86,25751,26278
87,25751,26120
88,25751,25962
89,25979,26437
90,25979,26278
91,25979,26120
92,26137,26437
93,26137,26278
94,26295,26437
