NestedExtraction,AncestorExtraction,CCR
1,0,30
2,0,30
3,0,29
4,0,30
5,0,30
6,0,30
7,0,29
8,0,30
9,0,30
10,0,30
11,0,29
12,0,28
13,0,23
14,0,28
15,0,23
16,0,28
17,0,23
18,0,28
19,0,23
20,0,28
21,0,23
22,0,21
23,0,13
24,0,13
25,0,9
26,0,13
27,0,13
28,0,9
29,0,5
30,0,4
31,0,4
32,0,5
33,0,4
34,0,5
35,0,3
36,0,1
37,0,1
38,0,1
2,1,30
3,1,29
5,1,30
6,1,30
7,1,29
9,1,30
10,1,30
11,1,29
12,1,28
13,1,23
14,1,28
15,1,23
16,1,28
17,1,23
18,1,28
19,1,23
20,1,28
21,1,23
22,1,21
23,1,13
24,1,13
25,1,9
26,1,13
27,1,13
28,1,9
29,1,5
30,1,4
31,1,4
32,1,5
33,1,4
34,1,5
35,1,3
37,1,1
38,1,1
3,2,29
6,2,30
7,2,29
10,2,30
11,2,29
12,2,28
13,2,23
14,2,28
15,2,23
16,2,28
17,2,23
18,2,28
19,2,23
20,2,28
21,2,23
22,2,21
23,2,13
24,2,13
25,2,9
26,2,13
27,2,13
28,2,9
29,2,5
30,2,4
31,2,4
32,2,5
33,2,4
34,2,5
35,2,3
38,2,1
7,3,29
11,3,29
12,3,28
13,3,23
14,3,28
15,3,23
16,3,28
17,3,23
18,3,28
19,3,23
20,3,28
21,3,23
22,3,21
23,3,13
24,3,13
25,3,9
26,3,13
27,3,13
28,3,9
29,3,5
30,3,4
31,3,4
32,3,5
33,3,4
34,3,5
35,3,3
5,4,30
6,4,30
7,4,29
8,4,30
9,4,30
10,4,30
11,4,29
12,4,28
13,4,23
14,4,28
15,4,23
16,4,28
17,4,23
18,4,28
19,4,23
20,4,28
21,4,23
22,4,21
23,4,13
24,4,13
25,4,9
26,4,13
27,4,13
28,4,9
29,4,5
30,4,4
31,4,4
32,4,5
33,4,4
34,4,5
35,4,3
36,4,1
37,4,1
38,4,1
6,5,30
7,5,29
9,5,30
10,5,30
11,5,29
12,5,28
13,5,23
14,5,28
15,5,23
16,5,28
17,5,23
18,5,28
19,5,23
20,5,28
21,5,23
22,5,21
23,5,13
24,5,13
25,5,9
26,5,13
27,5,13
28,5,9
29,5,5
30,5,4
31,5,4
32,5,5
33,5,4
34,5,5
35,5,3
37,5,1
38,5,1
7,6,29
10,6,30
11,6,29
12,6,28
13,6,23
14,6,28
15,6,23
16,6,28
17,6,23
18,6,28
19,6,23
20,6,28
21,6,23
22,6,21
23,6,13
24,6,13
25,6,9
26,6,13
27,6,13
28,6,9
29,6,5
30,6,4
31,6,4
32,6,5
33,6,4
34,6,5
35,6,3
38,6,1
11,7,29
12,7,28
13,7,23
14,7,28
15,7,23
16,7,28
17,7,23
18,7,28
19,7,23
20,7,28
21,7,23
22,7,21
23,7,13
24,7,13
25,7,9
26,7,13
27,7,13
28,7,9
29,7,5
30,7,4
31,7,4
32,7,5
33,7,4
34,7,5
35,7,3
9,8,30
10,8,30
11,8,29
12,8,28
13,8,23
14,8,28
15,8,23
16,8,28
