extraction,A,B
0,13440,16190
1,13440,16166
2,13531,16190
3,13531,16166
4,13686,16190
5,13686,16166
6,13686,14891
7,13772,16190
8,13772,16166
9,13772,15438
10,13772,15271
11,13772,14891
12,13842,16190
13,13842,16166
14,13842,15438
15,13842,15271
16,13842,14891
17,13885,16190
18,13885,16166
19,13885,15438
20,13885,15271
21,13885,14891
22,14035,14881
23,14035,14840
24,14035,14702
25,14144,14881
26,14144,14840
27,14144,14702
28,14214,14881
29,14214,14840
30,14214,14702
31,14279,14688
32,14279,14486
33,14348,14688
34,14348,14486
35,14503,14688
36,14716,14881
37,14716,14840
38,15146,16190
39,15146,16166
40,15146,15438
41,15280,16190
42,15280,16166
43,15280,15438
44,15505,16190
45,15505,16166
46,15686,16156
47,15686,15973
48,15796,16156
49,15796,15973
50,15861,15958
51,15986,16156
