NestedExtraction,AncestorExtraction,CCR
1,0,20
2,0,20
3,0,20
4,0,20
5,0,20
6,0,11
7,0,20
8,0,20
9,0,12
10,0,11
11,0,11
12,0,20
13,0,20
14,0,12
15,0,11
16,0,11
17,0,20
18,0,20
19,0,12
20,0,11
21,0,11
22,0,10
23,0,10
24,0,8
25,0,10
26,0,10
27,0,8
28,0,10
29,0,10
30,0,8
31,0,6
32,0,3
33,0,6
34,0,3
35,0,3
36,0,2
37,0,2
38,0,9
39,0,9
40,0,1
41,0,9
42,0,9
43,0,1
44,0,8
45,0,8
46,0,7
47,0,5
48,0,7
49,0,5
50,0,3
51,0,2
3,1,20
5,1,20
6,1,11
8,1,20
9,1,12
10,1,11
11,1,11
13,1,20
14,1,12
15,1,11
16,1,11
18,1,20
19,1,12
20,1,11
21,1,11
22,1,10
23,1,10
24,1,8
25,1,10
26,1,10
27,1,8
28,1,10
29,1,10
30,1,8
31,1,6
32,1,3
33,1,6
34,1,3
35,1,3
36,1,2
37,1,2
39,1,9
40,1,1
42,1,9
43,1,1
45,1,8
46,1,7
47,1,5
48,1,7
49,1,5
50,1,3
51,1,2
3,2,20
4,2,20
5,2,20
6,2,11
7,2,20
8,2,20
9,2,12
10,2,11
11,2,11
12,2,20
13,2,20
14,2,12
15,2,11
16,2,11
17,2,20
18,2,20
19,2,12
20,2,11
21,2,11
22,2,10
23,2,10
24,2,8
25,2,10
26,2,10
27,2,8
28,2,10
29,2,10
30,2,8
31,2,6
32,2,3
33,2,6
34,2,3
35,2,3
36,2,2
37,2,2
38,2,9
39,2,9
40,2,1
41,2,9
42,2,9
43,2,1
44,2,8
45,2,8
46,2,7
47,2,5
48,2,7
49,2,5
50,2,3
51,2,2
5,3,20
6,3,11
8,3,20
9,3,12
10,3,11
11,3,11
13,3,20
14,3,12
15,3,11
16,3,11
18,3,20
19,3,12
20,3,11
21,3,11
22,3,10
23,3,10
24,3,8
25,3,10
26,3,10
27,3,8
28,3,10
29,3,10
30,3,8
31,3,6
32,3,3
33,3,6
34,3,3
35,3,3
36,3,2
37,3,2
39,3,9
40,3,1
42,3,9
43,3,1
45,3,8
46,3,7
47,3,5
48,3,7
49,3,5
50,3,3
51,3,2
5,4,20
6,4,11
7,4,20
8,4,20
9,4,12
10,4,11
11,4,11
12,4,20
13,4,20
14,4,12
15,4,11
16,4,11
17,4,20
18,4,20
19,4,12
20,4,11
21,4,11
22,4,10
23,4,10
24,4,8
25,4,10
26,4,10
27,4,8
28,4,10
29,4,10
30,4,8
31,4,6
32,4,3
33,4,6
34,4,3
35,4,3
36,4,2
37,4,2
38,4,9
39,4,9
40,4,1
41,4,9
42,4,9
43,4,1
44,4,8
45,4,8
46,4,7
47,4,5
48,4,7
49,4,5
50,4,3
51,4,2
6,5,11
8,5,20
9,5,12
10,5,11
11,5,11
13,5,20
14,5,12
15,5,11
16,5,11
18,5,20
19,5,12
20,5,11
21,5,11
22,5,10
23,5,10
24,5,8
25,5,10
26,5,10
27,5,8
28,5,10
29,5,10
30,5,8
31,5,6
32,5,3
33,5,6
34,5,3
35,5,3
36,5,2
37,5,2
39,5,9
40,5,1
42,5,9
43,5,1
45,5,8
46,5,7
47,5,5
48,5,7
49,5,5
50,5,3
51,5,2
11,6,11
16,6,11
21,6,11
22,6,10
23,6,10
24,6,8
25,6,10
26,6,10
27,6,8
28,6,10
29,6,10
30,6,8
31,6,6
32,6,3
33,6,6
34,6,3
35,6,3
36,6,2
37,6,2
8,7,20
9,7,12
10,7,11
11,7,11
12,7,20
13,7,20
14,7,12
15,7,11
16,7,11
17,7,20
18,7,20
19,7,12
