extraction,A,B
0,37072,47849
1,37072,47826
2,37161,47849
3,37161,47826
4,37277,47816
5,37341,47816
6,37424,40296
7,37529,40296
8,37670,40296
9,37790,40296
10,37790,38639
11,37901,40296
12,37901,38639
13,38023,40296
14,38023,38639
15,38073,38617
16,38073,38557
17,38073,38492
18,38198,38617
19,38198,38557
20,38198,38492
21,38258,38617
22,38258,38557
23,38258,38492
24,38356,38617
25,38356,38557
26,38356,38492
27,38660,40296
28,38860,40274
29,38860,40135
30,39023,40274
31,39023,40135
32,39118,40109
33,39118,40033
34,39118,39548
35,39253,40109
36,39253,40033
37,39253,39548
38,39317,40109
39,39317,40033
40,39317,39548
41,39578,40109
42,39578,40033
43,40933,47757
44,40933,47637
45,41036,47757
46,41036,47637
47,41137,47757
48,41137,47637
49,41137,44686
50,41686,47757
51,41686,47637
52,41686,44822
53,41686,44686
54,41686,44566
55,41835,47757
56,41835,47637
57,41835,44822
58,41835,44686
59,41835,44566
60,41927,44544
61,41927,44478
62,41927,43481
63,42043,44544
64,42043,44478
65,42043,43481
66,42103,44544
67,42103,44478
68,42103,43481
69,42575,43481
70,43635,44544
71,43635,44478
72,43735,44452
73,44002,44422
74,44131,44422
75,44651,47757
76,44651,47637
77,44762,47757
78,44762,47637
79,44887,47757
80,44887,47637
81,44978,47615
82,44978,47549
83,44978,46535
84,45094,47615
85,45094,47549
86,45094,46535
87,45154,47615
88,45154,47549
89,45154,46535
90,45627,46535
91,46690,47615
92,46690,47549
93,46789,47523
94,47056,47493
95,47190,47493
