NestedExtraction,AncestorExtraction,CCR
1,0,15
2,0,6
3,0,6
4,0,6
5,0,6
6,0,6
7,0,6
8,0,6
9,0,6
10,0,6
11,0,6
12,0,6
13,0,6
14,0,4
15,0,4
16,0,1
17,0,8
18,0,6
19,0,6
20,0,6
21,0,6
22,0,6
23,0,6
24,0,6
25,0,6
26,0,6
27,0,6
28,0,6
29,0,6
30,0,4
31,0,4
32,0,1
2,1,6
3,1,6
4,1,6
5,1,6
6,1,6
7,1,6
8,1,6
9,1,6
10,1,6
11,1,6
12,1,6
13,1,6
14,1,4
15,1,4
16,1,1
17,1,8
18,1,6
19,1,6
20,1,6
21,1,6
22,1,6
23,1,6
24,1,6
25,1,6
26,1,6
27,1,6
28,1,6
29,1,6
30,1,4
31,1,4
32,1,1
3,2,4
4,2,4
5,2,4
6,2,4
7,2,4
8,2,4
9,2,4
10,2,4
11,2,4
12,2,4
13,2,4
14,2,3
15,2,3
16,2,1
4,3,4
6,3,4
7,3,4
9,3,4
10,3,4
12,3,4
13,3,4
14,3,3
15,3,3
16,3,1
7,4,4
10,4,4
13,4,4
14,4,3
15,4,3
16,4,1
6,5,4
7,5,4
8,5,4
9,5,4
10,5,4
11,5,4
12,5,4
13,5,4
14,5,3
15,5,3
16,5,1
7,6,4
9,6,4
10,6,4
12,6,4
13,6,4
14,6,3
15,6,3
16,6,1
10,7,4
13,7,4
14,7,3
15,7,3
16,7,1
9,8,4
10,8,4
11,8,4
12,8,4
13,8,4
14,8,3
15,8,3
16,8,1
10,9,4
12,9,4
13,9,4
14,9,3
15,9,3
16,9,1
13,10,4
14,10,3
15,10,3
16,10,1
12,11,4
13,11,4
14,11,3
15,11,3
16,11,1
13,12,4
14,12,3
15,12,3
16,12,1
14,13,3
15,13,3
16,13,1
15,14,2
16,14,1
16,15,1
18,17,6
19,17,6
20,17,6
21,17,6
22,17,6
23,17,6
24,17,6
25,17,6
26,17,6
27,17,6
28,17,6
29,17,6
30,17,4
31,17,4
32,17,1
19,18,4
20,18,4
21,18,4
22,18,4
23,18,4
24,18,4
25,18,4
26,18,4
27,18,4
28,18,4
29,18,4
30,18,3
31,18,3
32,18,1
20,19,4
22,19,4
23,19,4
25,19,4
26,19,4
28,19,4
29,19,4
30,19,3
31,19,3
32,19,1
23,20,4
26,20,4
29,20,4
30,20,3
31,20,3
32,20,1
22,21,4
23,21,4
24,21,4
25,21,4
26,21,4
27,21,4
28,21,4
29,21,4
30,21,3
31,21,3
32,21,1
23,22,4
25,22,4
26,22,4
28,22,4
29,22,4
30,22,3
31,22,3
32,22,1
26,23,4
29,23,4
30,23,3
31,23,3
32,23,1
25,24,4
26,24,4
27,24,4
28,24,4
29,24,4
30,24,3
31,24,3
32,24,1
26,25,4
28,25,4
29,25,4
30,25,3
31,25,3
32,25,1
29,26,4
30,26,3
31,26,3
32,26,1
28,27,4
29,27,4
30,27,3
31,27,3
32,27,1
29,28,4
30,28,3
31,28,3
32,28,1
30,29,3
31,29,3
32,29,1
31,30,2
32,30,1
32,31,1
