ExtractionA,ExtractionB
1,7
1,21
1,28
1,35
1,42
1,49
1,72
1,77
1,88
1,89
1,90
2,7
2,8
2,21
2,22
2,28
2,29
2,35
2,36
2,42
2,43
2,49
2,50
2,72
2,73
2,77
2,78
2,88
2,89
3,7
3,8
3,9
3,21
3,22
3,23
3,28
3,29
3,30
3,35
3,36
3,37
3,42
3,43
3,44
3,49
3,50
3,51
3,72
3,73
3,74
3,77
3,78
3,79
3,88
4,7
4,8
4,9
4,10
4,21
4,22
4,23
4,24
4,28
4,29
4,30
4,31
4,35
4,36
4,37
4,38
4,42
4,43
4,44
4,45
4,49
4,50
4,51
4,52
4,72
4,73
4,74
4,75
4,77
4,78
4,79
4,80
5,7
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,21
5,22
5,23
5,24
5,25
5,26
5,27
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
8,21
8,28
8,35
8,42
8,49
8,72
8,77
8,88
8,89
8,90
9,21
9,22
9,28
9,29
9,35
9,36
9,42
9,43
9,49
9,50
9,72
9,73
9,77
9,78
9,88
9,89
10,21
10,22
10,23
10,28
10,29
10,30
10,35
10,36
10,37
10,42
10,43
10,44
10,49
10,50
10,51
10,72
10,73
10,74
10,77
10,78
10,79
10,88
11,21
11,22
11,23
11,24
11,28
11,29
11,30
11,31
11,35
11,36
11,37
11,38
11,42
11,43
11,44
11,45
11,49
11,50
11,51
11,52
11,72
11,73
11,74
11,75
11,77
11,78
11,79
11,80
12,21
12,22
12,23
12,24
12,25
12,28
12,29
12,30
12,31
12,32
12,35
12,36
12,37
12,38
12,39
12,42
12,43
12,44
12,45
12,46
12,49
12,50
12,51
12,52
12,53
12,72
12,73
12,74
12,75
12,76
13,21
13,22
13,23
13,24
13,25
13,26
13,28
13,29
13,30
13,31
13,32
13,33
13,35
13,36
13,37
13,38
13,39
13,40
13,42
13,43
13,44
13,45
13,46
13,47
13,49
13,50
13,51
13,52
13,53
13,54
14,21
14,22
14,23
14,24
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,32
14,33
14,34
15,21
15,22
15,23
15,24
15,25
15,26
15,27
18,19
22,28
22,35
22,42
22,49
22,72
22,77
22,88
22,89
22,90
23,28
23,29
23,35
23,36
23,42
23,43
23,49
23,50
23,72
23,73
23,77
23,78
23,88
23,89
24,28
24,29
24,30
24,35
24,36
24,37
24,42
24,43
24,44
24,49
24,50
24,51
24,72
24,73
24,74
24,77
24,78
24,79
24,88
25,28
25,29
25,30
25,31
25,35
25,36
25,37
25,38
25,42
25,43
25,44
25,45
25,49
25,50
25,51
25,52
25,72
25,73
25,74
25,75
25,77
25,78
25,79
25,80
26,28
26,29
26,30
26,31
26,32
26,35
26,36
26,37
26,38
26,39
26,42
26,43
26,44
26,45
26,46
26,49
26,50
26,51
26,52
26,53
26,72
26,73
26,74
26,75
26,76
27,28
27,29
27,30
27,31
27,32
27,33
27,35
27,36
27,37
27,38
27,39
27,40
27,42
27,43
27,44
27,45
27,46
27,47
27,49
27,50
27,51
27,52
27,53
27,54
29,35
29,42
29,49
29,72
29,77
29,88
29,89
29,90
30,35
30,36
30,42
30,43
30,49
30,50
30,72
30,73
30,77
30,78
30,88
30,89
31,35
31,36
31,37
31,42
31,43
31,44
31,49
31,50
31,51
31,72
31,73
31,74
31,77
31,78
31,79
31,88
32,35
32,36
32,37
32,38
32,42
32,43
32,44
32,45
32,49
32,50
32,51
32,52
32,72
32,73
32,74
32,75
32,77
32,78
32,79
32,80
33,35
33,36
33,37
33,38
33,39
33,42
33,43
33,44
33,45
33,46
33,49
33,50
33,51
33,52
33,53
33,72
33,73
33,74
33,75
33,76
34,35
34,36
34,37
34,38
34,39
34,40
34,42
34,43
34,44
34,45
34,46
34,47
34,49
34,50
34,51
34,52
34,53
34,54
36,42
36,49
36,72
36,77
36,88
36,89
36,90
37,42
37,43
37,49
37,50
37,72
37,73
37,77
37,78
37,88
37,89
38,42
38,43
38,44
38,49
38,50
38,51
38,72
38,73
38,74
38,77
38,78
38,79
38,88
39,42
39,43
39,44
39,45
39,49
39,50
39,51
39,52
39,72
39,73
39,74
39,75
39,77
39,78
39,79
39,80
40,42
40,43
40,44
40,45
40,46
40,49
40,50
40,51
40,52
40,53
40,72
40,73
40,74
40,75
40,76
41,42
41,43
41,44
41,45
41,46
41,47
41,49
41,50
41,51
41,52
41,53
41,54
43,49
43,72
43,77
43,88
43,89
43,90
44,49
44,50
44,72
44,73
44,77
44,78
44,88
44,89
45,49
45,50
45,51
45,72
45,73
45,74
45,77
45,78
45,79
45,88
46,49
46,50
46,51
46,52
46,72
46,73
46,74
46,75
46,77
46,78
46,79
46,80
47,49
47,50
47,51
47,52
47,53
47,72
47,73
47,74
47,75
47,76
48,49
48,50
48,51
48,52
48,53
48,54
50,72
50,77
50,88
50,89
50,90
51,72
51,73
51,77
51,78
51,88
51,89
52,72
52,73
52,74
52,77
52,78
52,79
52,88
53,72
53,73
53,74
53,75
53,77
53,78
53,79
53,80
54,72
54,73
54,74
54,75
54,76
57,59
57,62
57,70
58,59
58,60
58,62
58,63
60,62
60,70
61,62
61,63
63,70
66,67
73,77
73,88
73,89
73,90
74,77
74,78
74,88
74,89
75,77
75,78
75,79
75,88
76,77
76,78
76,79
76,80
78,88
78,89
78,90
79,88
79,89
80,88
83,84
