NestedExtraction,AncestorExtraction,CCR
1,0,17
2,0,17
3,0,17
4,0,17
5,0,17
6,0,17
7,0,17
8,0,14
9,0,12
10,0,12
11,0,12
12,0,12
13,0,12
14,0,12
15,0,12
16,0,12
17,0,12
18,0,12
19,0,12
20,0,12
21,0,12
22,0,12
23,0,9
24,0,5
25,0,5
3,1,17
5,1,17
7,1,17
8,1,14
9,1,12
10,1,12
11,1,12
12,1,12
13,1,12
14,1,12
15,1,12
16,1,12
17,1,12
18,1,12
19,1,12
20,1,12
21,1,12
22,1,12
23,1,9
24,1,5
25,1,5
3,2,17
4,2,17
5,2,17
6,2,17
7,2,17
8,2,14
9,2,12
10,2,12
11,2,12
12,2,12
13,2,12
14,2,12
15,2,12
16,2,12
17,2,12
18,2,12
19,2,12
20,2,12
21,2,12
22,2,12
23,2,9
24,2,5
25,2,5
5,3,17
7,3,17
8,3,14
9,3,12
10,3,12
11,3,12
12,3,12
13,3,12
14,3,12
15,3,12
16,3,12
17,3,12
18,3,12
19,3,12
20,3,12
21,3,12
22,3,12
23,3,9
24,3,5
25,3,5
5,4,17
6,4,17
7,4,17
8,4,14
9,4,12
10,4,12
11,4,12
12,4,12
13,4,12
14,4,12
15,4,12
16,4,12
17,4,12
18,4,12
19,4,12
20,4,12
21,4,12
22,4,12
23,4,9
24,4,5
25,4,5
7,5,17
8,5,14
9,5,12
10,5,12
11,5,12
12,5,12
13,5,12
14,5,12
15,5,12
16,5,12
17,5,12
18,5,12
19,5,12
20,5,12
21,5,12
22,5,12
23,5,9
24,5,5
25,5,5
7,6,17
8,6,14
9,6,12
10,6,12
11,6,12
12,6,12
13,6,12
14,6,12
15,6,12
16,6,12
17,6,12
18,6,12
19,6,12
20,6,12
21,6,12
22,6,12
23,6,9
24,6,5
25,6,5
8,7,14
9,7,12
10,7,12
11,7,12
12,7,12
13,7,12
14,7,12
15,7,12
16,7,12
17,7,12
18,7,12
19,7,12
20,7,12
21,7,12
22,7,12
23,7,9
24,7,5
25,7,5
9,8,9
10,8,9
11,8,9
12,8,9
13,8,9
14,8,9
15,8,9
16,8,9
17,8,9
18,8,9
19,8,9
20,8,9
21,8,9
22,8,9
23,8,7
24,8,4
25,8,4
10,9,6
11,9,6
12,9,6
13,9,6
14,9,6
15,9,6
16,9,6
17,9,6
18,9,6
19,9,6
20,9,6
21,9,6
22,9,6
23,9,5
24,9,3
25,9,3
12,10,6
14,10,6
16,10,6
18,10,6
20,10,6
22,10,6
23,10,5
24,10,3
25,10,3
12,11,6
13,11,6
14,11,6
15,11,6
16,11,6
17,11,6
18,11,6
19,11,6
20,11,6
21,11,6
22,11,6
23,11,5
24,11,3
25,11,3
14,12,6
16,12,6
18,12,6
20,12,6
22,12,6
23,12,5
24,12,3
25,12,3
14,13,6
15,13,6
16,13,6
17,13,6
18,13,6
19,13,6
20,13,6
21,13,6
22,13,6
23,13,5
24,13,3
25,13,3
16,14,6
18,14,6
20,14,6
22,14,6
23,14,5
24,14,3
25,14,3
16,15,6
17,15,6
18,15,6
19,15,6
20,15,6
21,15,6
22,15,6
23,15,5
24,15,3
25,15,3
18,16,6
20,16,6
22,16,6
23,16,5
24,16,3
25,16,3
18,17,6
19,17,6
20,17,6
21,17,6
22,17,6
23,17,5
24,17,3
25,17,3
20,18,6
22,18,6
23,18,5
24,18,3
25,18,3
20,19,6
21,19,6
22,19,6
23,19,5
24,19,3
25,19,3
22,20,6
23,20,5
24,20,3
25,20,3
22,21,6
23,21,5
24,21,3
25,21,3
23,22,5
24,22,3
25,22,3
24,23,2
25,23,2
25,24,1
