ExtractionA,ExtractionB
1,4
1,8
1,13
1,15
1,19
1,23
1,25
1,27
1,32
2,4
2,5
2,8
2,9
2,10
2,11
3,4
3,5
3,6
5,8
5,13
5,15
5,19
5,23
5,25
5,27
5,32
6,8
6,9
6,10
6,11
9,13
9,15
9,19
9,23
9,25
9,27
9,32
10,13
10,14
10,15
10,16
10,17
10,18
11,13
11,14
14,15
14,19
14,23
14,25
14,27
14,32
16,19
16,23
16,25
16,27
16,32
17,19
17,20
17,23
17,24
18,19
18,20
18,21
20,23
20,25
20,27
20,32
21,23
21,24
24,25
24,27
24,32
26,27
26,32
28,32
29,32
29,33
30,32
30,33
30,34
31,32
31,33
31,34
31,35
31,36
41,45
41,57
41,69
41,81
41,93
41,105
41,114
41,123
41,132
41,138
41,144
41,150
41,153
41,156
42,45
42,46
42,47
42,48
42,57
42,58
42,59
42,60
42,69
42,70
42,71
42,72
42,81
42,82
42,83
42,84
42,93
42,94
42,95
42,96
42,105
42,106
42,107
42,108
42,114
42,115
42,116
42,117
42,123
42,124
42,125
42,126
42,132
42,133
42,134
42,135
42,138
42,139
42,140
42,141
42,144
42,145
42,146
42,147
42,150
42,151
42,152
43,45
43,46
43,47
43,48
43,49
43,50
43,51
43,57
43,58
43,59
43,60
43,61
43,62
43,63
43,69
43,70
43,71
43,72
43,73
43,74
43,75
43,81
43,82
43,83
43,84
43,85
43,86
43,87
43,93
43,94
43,95
43,96
43,97
43,98
43,99
43,105
43,106
43,107
43,108
43,109
43,110
43,111
43,114
43,115
43,116
43,117
43,118
43,119
43,120
43,123
43,124
43,125
43,126
43,127
43,128
43,129
43,132
43,133
43,134
43,135
43,136
43,137
44,45
44,46
44,47
44,48
44,49
44,50
44,51
44,52
44,53
44,54
44,57
44,58
44,59
44,60
44,61
44,62
44,63
44,64
44,65
44,66
44,69
44,70
44,71
44,72
44,73
44,74
44,75
44,76
44,77
44,78
44,81
44,82
44,83
44,84
44,85
44,86
44,87
44,88
44,89
44,90
44,93
44,94
44,95
44,96
44,97
44,98
44,99
44,100
44,101
44,102
44,105
44,106
44,107
44,108
44,109
44,110
44,111
44,112
44,113
46,57
46,69
46,81
46,93
46,105
46,114
46,123
46,132
46,138
46,144
46,150
46,153
46,156
47,57
47,58
47,69
47,70
47,81
47,82
47,93
47,94
47,105
47,106
47,114
47,115
47,123
47,124
47,132
47,133
47,138
47,139
47,144
47,145
47,150
47,151
47,153
47,154
47,156
47,157
48,57
48,58
48,59
48,69
48,70
48,71
48,81
48,82
48,83
48,93
48,94
48,95
48,105
48,106
48,107
48,114
48,115
48,116
48,123
48,124
48,125
48,132
48,133
48,134
48,138
48,139
48,140
48,144
48,145
48,146
48,150
48,151
48,152
48,153
48,154
48,155
49,57
49,58
49,59
49,60
49,69
49,70
49,71
49,72
49,81
49,82
49,83
49,84
49,93
49,94
49,95
49,96
49,105
49,106
49,107
49,108
49,114
49,115
49,116
49,117
49,123
49,124
49,125
49,126
49,132
49,133
49,134
49,135
49,138
49,139
49,140
49,141
49,144
49,145
49,146
49,147
49,150
49,151
