NestedExtraction,AncestorExtraction,CCR
1,0,125
2,0,125
3,0,125
4,0,125
5,0,125
6,0,25
7,0,125
8,0,125
9,0,125
10,0,125
11,0,125
12,0,125
13,0,25
14,0,125
15,0,125
16,0,125
17,0,125
18,0,125
19,0,125
20,0,25
21,0,125
22,0,125
23,0,125
24,0,125
25,0,125
26,0,125
27,0,25
28,0,125
29,0,125
30,0,125
31,0,125
32,0,125
33,0,125
34,0,25
35,0,125
36,0,125
37,0,125
38,0,125
39,0,125
40,0,125
41,0,25
42,0,125
43,0,125
44,0,125
45,0,125
46,0,125
47,0,125
48,0,25
49,0,125
50,0,125
51,0,125
52,0,125
53,0,125
54,0,125
55,0,25
56,0,125
57,0,125
58,0,125
59,0,125
60,0,125
61,0,125
62,0,25
63,0,125
64,0,125
65,0,125
66,0,125
67,0,125
68,0,125
69,0,25
70,0,24
71,0,24
72,0,6
73,0,6
74,0,24
75,0,24
76,0,6
77,0,6
78,0,24
79,0,24
80,0,6
81,0,6
82,0,24
83,0,24
84,0,6
85,0,6
86,0,24
87,0,24
88,0,6
89,0,6
90,0,24
91,0,24
92,0,6
93,0,6
94,0,24
95,0,24
96,0,6
97,0,6
98,0,4
99,0,4
100,0,18
101,0,18
102,0,18
103,0,18
104,0,16
105,0,3
106,0,16
107,0,3
108,0,13
109,0,10
110,0,10
111,0,10
112,0,10
113,0,5
114,0,3
115,0,100
116,0,100
117,0,100
118,0,100
119,0,100
120,0,100
121,0,88
122,0,86
123,0,5
124,0,5
125,0,81
126,0,4
127,0,81
128,0,4
129,0,77
130,0,72
131,0,72
132,0,72
133,0,7
134,0,60
135,0,6
136,0,52
137,0,7
138,0,43
139,0,7
140,0,34
141,0,6
142,0,26
143,0,7
144,0,17
145,0,6
146,0,9
147,0,6
148,0,9
149,0,7
150,0,4
2,1,125
3,1,125
4,1,125
5,1,125
6,1,25
8,1,125
9,1,125
10,1,125
11,1,125
12,1,125
13,1,25
15,1,125
16,1,125
17,1,125
18,1,125
19,1,125
20,1,25
22,1,125
23,1,125
24,1,125
25,1,125
26,1,125
27,1,25
29,1,125
30,1,125
31,1,125
32,1,125
33,1,125
34,1,25
36,1,125
37,1,125
38,1,125
39,1,125
40,1,125
41,1,25
43,1,125
44,1,125
45,1,125
46,1,125
47,1,125
48,1,25
50,1,125
51,1,125
52,1,125
