extraction,A,B
0,8446,15965
1,8446,15828
2,8446,15745
3,8446,15607
4,8446,15524
5,8446,15413
6,8446,15348
7,8446,11306
8,8446,11211
9,8446,9114
10,8446,9016
11,8446,8669
12,8446,8578
13,8505,15965
14,8505,15828
15,8505,15745
16,8505,15607
17,8505,15524
18,8505,15413
19,8505,15348
20,8505,11306
21,8505,11211
22,8505,9114
23,8505,9016
24,8505,8669
25,8505,8578
26,8588,15965
27,8588,15828
28,8588,15745
29,8588,15607
30,8588,15524
31,8588,15413
32,8588,15348
33,8588,11306
34,8588,11211
35,8588,9114
36,8588,9016
37,8678,15965
38,8678,15828
39,8678,15745
40,8678,15607
41,8678,15524
42,8678,15413
43,8678,15348
44,8678,11306
45,8678,11211
46,8678,9114
47,8678,9016
48,9052,15965
49,9052,15828
50,9052,15745
51,9052,15607
52,9052,15524
53,9052,15413
54,9052,15348
55,9052,11306
56,9052,11211
57,9123,15965
58,9123,15828
59,9123,15745
60,9123,15607
61,9123,15524
62,9123,15413
63,9123,15348
64,9123,11306
65,9123,11211
66,9168,11201
67,9261,11201
68,9333,11187
69,9415,11187
70,9505,11187
71,9587,11187
72,9678,11169
73,9678,10714
74,9678,10323
75,9753,11169
76,9753,10714
77,9753,10323
78,9753,10253
79,9834,11169
80,9834,10714
81,9834,10323
82,9834,10253
83,9873,11169
84,9873,10714
85,9873,10323
86,9873,10253
87,10275,11169
88,10275,10819
89,10275,10714
90,10345,11169
91,10345,10819
92,10345,10714
93,10428,11169
94,10428,10819
95,10428,10714
96,10505,11169
97,10505,10819
98,10505,10714
99,10736,11169
100,10840,11169
101,10904,11147
102,11012,11147
103,11248,15965
104,11248,15828
105,11248,15745
106,11248,15607
107,11248,15524
108,11248,15413
109,11248,15348
110,11315,15965
111,11315,15828
112,11315,15745
113,11315,15607
114,11315,15524
115,11315,15413
116,11315,15348
117,11358,15338
118,11446,15338
119,11515,15324
120,11593,15324
121,11647,15306
122,11647,14771
123,11647,13768
124,11647,13547
125,11647,13282
126,11647,13081
127,11647,12730
128,11647,12418
129,11647,12093
130,11718,15306
131,11718,14771
132,11718,13768
133,11718,13547
134,11718,13282
135,11718,13081
136,11718,12730
137,11718,12418
138,11718,12093
139,11755,15306
140,11755,14771
141,11755,13768
142,11755,13547
143,11755,13282
144,11755,13081
145,11755,12730
146,11755,12418
147,11755,12093
148,12116,15306
149,12116,14874
150,12116,14771
151,12116,13866
152,12116,13768
153,12116,13636
154,12116,13547
155,12116,13368
156,12116,13282
157,12116,13162
158,12116,13081
159,12116,12821
160,12116,12730
161,12116,12501
162,12116,12418
163,12201,15306
164,12201,14874
165,12201,14771
166,12201,13866
167,12201,13768
168,12201,13636
169,12201,13547
170,12201,13368
171,12201,13282
172,12201,13162
173,12201,13081
174,12201,12821
175,12201,12730
176,12201,12501
177,12201,12418
178,12440,15306
179,12440,14874
180,12440,14771
181,12440,13866
182,12440,13768
183,12440,13636
184,12440,13547
185,12440,13368
186,12440,13282
187,12440,13162
188,12440,13081
189,12440,12821
190,12440,12730
191,12522,15306
192,12522,14874
193,12522,14771
194,12522,13866
195,12522,13768
196,12522,13636
197,12522,13547
198,12522,13368
199,12522,13282
200,12522,13162
201,12522,13081
202,12522,12821
203,12522,12730
204,12752,15306
205,12752,14874
206,12752,14771
207,12752,13866
208,12752,13768
209,12752,13636
210,12752,13547
211,12752,13368
212,12752,13282
213,12752,13162
214,12752,13081
215,12842,15306
216,12842,14874
217,12842,14771
218,12842,13866
219,12842,13768
220,12842,13636
221,12842,13547
222,12842,13368
223,12842,13282
224,12842,13162
225,12842,13081
226,13103,15306
227,13103,14874
228,13103,14771
229,13103,13866
230,13103,13768
231,13103,13636
232,13103,13547
233,13103,13368
234,13103,13282
235,13183,15306
236,13183,14874
237,13183,14771
238,13183,13866
239,13183,13768
240,13183,13636
241,13183,13547
242,13183,13368
243,13183,13282
244,13304,15306
245,13304,14874
246,13304,14771
247,13304,13866
248,13304,13768
249,13304,13636
250,13304,13547
251,13389,15306
252,13389,14874
253,13389,14771
254,13389,13866
255,13389,13768
256,13389,13636
257,13389,13547
258,13569,15306
259,13569,14874
260,13569,14771
261,13569,13866
262,13569,13768
263,13657,15306
264,13657,14874
265,13657,14771
266,13657,13866
267,13657,13768
268,13790,15306
269,13790,14874
270,13790,14771
271,13887,15306
272,13887,14874
273,13887,14771
274,13949,14749
275,14056,14749
276,14793,15306
277,14895,15306
278,14962,15284
279,15067,15284
280,15359,15965
281,15359,15828
282,15359,15745
283,15359,15607
284,15359,15524
285,15422,15965
286,15422,15828
287,15422,15745
288,15422,15607
289,15422,15524
290,15534,15965
291,15534,15828
292,15534,15745
293,15616,15965
294,15616,15828
295,15616,15745
296,15755,15965
297,15837,15965
