NestedExtraction,AncestorExtraction,CCR
1,0,26
2,0,19
3,0,19
4,0,26
5,0,19
6,0,19
7,0,18
8,0,18
9,0,16
10,0,16
11,0,12
12,0,8
13,0,4
14,0,12
15,0,8
16,0,4
17,0,12
18,0,8
19,0,8
20,0,4
21,0,4
22,0,12
23,0,8
24,0,8
25,0,4
26,0,4
27,0,8
28,0,4
29,0,4
30,0,8
31,0,4
32,0,4
33,0,4
34,0,4
35,0,7
36,0,7
37,0,6
38,0,6
39,0,4
40,0,4
41,0,4
2,1,19
3,1,19
4,1,26
5,1,19
6,1,19
7,1,18
8,1,18
9,1,16
10,1,16
11,1,12
12,1,8
13,1,4
14,1,12
15,1,8
16,1,4
17,1,12
18,1,8
19,1,8
20,1,4
21,1,4
22,1,12
23,1,8
24,1,8
25,1,4
26,1,4
27,1,8
28,1,4
29,1,4
30,1,8
31,1,4
32,1,4
33,1,4
34,1,4
35,1,7
36,1,7
37,1,6
38,1,6
39,1,4
40,1,4
41,1,4
3,2,19
5,2,19
6,2,19
7,2,18
8,2,18
9,2,16
10,2,16
11,2,12
12,2,8
13,2,4
14,2,12
15,2,8
16,2,4
17,2,12
18,2,8
19,2,8
20,2,4
21,2,4
22,2,12
23,2,8
24,2,8
25,2,4
26,2,4
27,2,8
28,2,4
29,2,4
30,2,8
31,2,4
32,2,4
33,2,4
34,2,4
6,3,19
7,3,18
8,3,18
9,3,16
10,3,16
11,3,12
12,3,8
13,3,4
14,3,12
15,3,8
16,3,4
17,3,12
18,3,8
19,3,8
20,3,4
21,3,4
22,3,12
23,3,8
24,3,8
25,3,4
26,3,4
27,3,8
28,3,4
29,3,4
30,3,8
31,3,4
32,3,4
33,3,4
34,3,4
5,4,19
6,4,19
7,4,18
8,4,18
9,4,16
10,4,16
11,4,12
12,4,8
13,4,4
14,4,12
15,4,8
16,4,4
17,4,12
18,4,8
19,4,8
20,4,4
21,4,4
22,4,12
23,4,8
24,4,8
25,4,4
26,4,4
27,4,8
28,4,4
29,4,4
30,4,8
31,4,4
32,4,4
33,4,4
34,4,4
35,4,7
36,4,7
37,4,6
38,4,6
39,4,4
40,4,4
41,4,4
6,5,19
7,5,18
8,5,18
9,5,16
10,5,16
11,5,12
12,5,8
13,5,4
14,5,12
15,5,8
16,5,4
17,5,12
18,5,8
19,5,8
20,5,4
21,5,4
22,5,12
23,5,8
24,5,8
25,5,4
26,5,4
27,5,8
28,5,4
29,5,4
30,5,8
31,5,4
32,5,4
33,5,4
34,5,4
7,6,18
8,6,18
9,6,16
10,6,16
11,6,12
12,6,8
13,6,4
14,6,12
15,6,8
16,6,4
17,6,12
18,6,8
19,6,8
20,6,4
21,6,4
22,6,12
23,6,8
24,6,8
25,6,4
26,6,4
27,6,8
28,6,4
29,6,4
30,6,8
31,6,4
32,6,4
33,6,4
34,6,4
8,7,13
9,7,12
10,7,12
11,7,9
12,7,6
13,7,3
14,7,9
15,7,6
16,7,3
17,7,9
18,7,6
19,7,6
20,7,3
21,7,3
22,7,9
23,7,6
24,7,6
25,7,3
26,7,3
27,7,6
28,7,3
29,7,3
30,7,6
31,7,3
32,7,3
33,7,3
34,7,3
9,8,12
10,8,12
11,8,9
12,8,6
13,8,3
14,8,9
15,8,6
16,8,3
17,8,9
18,8,6
19,8,6
20,8,3
21,8,3
22,8,9
23,8,6
24,8,6
25,8,3
26,8,3
27,8,6
28,8,3
29,8,3
30,8,6
31,8,3
32,8,3
33,8,3
34,8,3
10,9,8
11,9,6
12,9,4
13,9,2
14,9,6
15,9,4
16,9,2
17,9,6
18,9,4
19,9,4
20,9,2
21,9,2
22,9,6
23,9,4
24,9,4
25,9,2
26,9,2
27,9,4
28,9,2
29,9,2
30,9,4
31,9,2
32,9,2
33,9,2
34,9,2
11,10,6
12,10,4
13,10,2
14,10,6
15,10,4
16,10,2
17,10,6
18,10,4
19,10,4
20,10,2
21,10,2
22,10,6
23,10,4
24,10,4
25,10,2
26,10,2
27,10,4
28,10,2
29,10,2
30,10,4
31,10,2
32,10,2
33,10,2
34,10,2
12,11,2
13,11,1
14,11,3
15,11,2
16,11,1
17,11,3
18,11,2
19,11,2
20,11,1
21,11,1
22,11,3
23,11,2
24,11,2
25,11,1
26,11,1
27,11,2
28,11,1
29,11,1
30,11,2
31,11,1
32,11,1
33,11,1
34,11,1
13,12,1
15,12,2
16,12,1
19,12,2
20,12,1
21,12,1
24,12,2
25,12,1
26,12,1
29,12,1
32,12,1
16,13,1
21,13,1
26,13,1
15,14,2
16,14,1
17,14,3
18,14,2
19,14,2
20,14,1
21,14,1
22,14,3
23,14,2
24,14,2
25,14,1
26,14,1
27,14,2
28,14,1
29,14,1
30,14,2
31,14,1
32,14,1
33,14,1
34,14,1
16,15,1
19,15,2
20,15,1
21,15,1
24,15,2
25,15,1
26,15,1
29,15,1
32,15,1
21,16,1
26,16,1
18,17,2
19,17,2
20,17,1
21,17,1
22,17,3
23,17,2
24,17,2
25,17,1
26,17,1
27,17,2
28,17,1
29,17,1
30,17,2
31,17,1
32,17,1
33,17,1
34,17,1
19,18,2
20,18,1
21,18,1
23,18,2
24,18,2
25,18,1
26,18,1
28,18,1
29,18,1
31,18,1
32,18,1
20,19,1
21,19,1
24,19,2
25,19,1
26,19,1
29,19,1
32,19,1
21,20,1
25,20,1
26,20,1
26,21,1
23,22,2
24,22,2
25,22,1
26,22,1
27,22,2
28,22,1
29,22,1
30,22,2
31,22,1
32,22,1
33,22,1
34,22,1
24,23,2
25,23,1
26,23,1
28,23,1
29,23,1
31,23,1
32,23,1
25,24,1
26,24,1
29,24,1
32,24,1
26,25,1
28,27,1
29,27,1
30,27,2
31,27,1
32,27,1
33,27,1
34,27,1
29,28,1
31,28,1
32,28,1
32,29,1
31,30,1
32,30,1
33,30,1
34,30,1
32,31,1
34,33,1
36,35,7
37,35,6
38,35,6
39,35,4
40,35,4
41,35,4
37,36,6
38,36,6
39,36,4
40,36,4
41,36,4
38,37,4
39,37,3
40,37,3
41,37,3
39,38,3
40,38,3
41,38,3
40,39,2
41,39,2
41,40,2
