extraction,A,B
0,16859,20913
1,16859,20768
2,16859,20651
3,16859,20395
4,16859,20169
5,16859,19913
6,16859,19705
7,16859,19509
8,16859,19277
9,16859,19068
10,16859,18692
11,16859,18382
12,16859,18132
13,16859,17924
14,16859,17662
15,16859,17472
16,16859,17132
17,16936,20913
18,16936,20768
19,16936,20651
20,16936,20509
21,16936,20395
22,16936,20268
23,16936,20169
24,16936,20027
25,16936,19913
26,16936,19795
27,16936,19705
28,16936,19593
29,16936,19509
30,16936,19379
31,16936,19277
32,16936,19159
33,16936,19068
34,16936,18866
35,16936,18692
36,16936,18523
37,16936,18382
38,16936,18243
39,16936,18132
40,16936,18014
41,16936,17924
42,16936,17779
43,16936,17662
44,16936,17553
45,16936,17472
46,16936,17288
47,16936,17132
48,17011,20913
49,17011,20768
50,17011,20651
51,17011,20509
52,17011,20395
53,17011,20268
54,17011,20169
55,17011,20027
56,17011,19913
57,17011,19795
58,17011,19705
59,17011,19593
60,17011,19509
61,17011,19379
62,17011,19277
63,17011,19159
64,17011,19068
65,17011,18866
66,17011,18692
67,17011,18523
68,17011,18382
69,17011,18243
70,17011,18132
71,17011,18014
72,17011,17924
73,17011,17779
74,17011,17662
75,17011,17553
76,17011,17472
77,17011,17288
78,17011,17132
79,17186,20913
80,17186,20768
81,17186,20651
82,17186,20509
83,17186,20395
84,17186,20268
85,17186,20169
86,17186,20027
87,17186,19913
88,17186,19795
89,17186,19705
90,17186,19593
91,17186,19509
92,17186,19379
93,17186,19277
94,17186,19159
95,17186,19068
96,17186,18866
97,17186,18692
98,17186,18523
99,17186,18382
100,17186,18243
101,17186,18132
102,17186,18014
103,17186,17924
104,17186,17779
105,17186,17662
106,17186,17553
107,17186,17472
108,17297,20913
109,17297,20768
110,17297,20651
111,17297,20509
112,17297,20395
113,17297,20268
114,17297,20169
115,17297,20027
116,17297,19913
117,17297,19795
118,17297,19705
119,17297,19593
120,17297,19509
121,17297,19379
122,17297,19277
123,17297,19159
124,17297,19068
125,17297,18866
126,17297,18692
127,17297,18523
128,17297,18382
129,17297,18243
130,17297,18132
131,17297,18014
132,17297,17924
133,17297,17779
134,17297,17662
135,17297,17553
136,17297,17472
137,17501,20913
138,17501,20768
139,17501,20651
140,17501,20509
141,17501,20395
142,17501,20268
143,17501,20169
144,17501,20027
145,17501,19913
146,17501,19795
147,17501,19705
148,17501,19593
149,17501,19509
150,17501,19379
151,17501,19277
152,17501,19159
153,17501,19068
154,17501,18866
155,17501,18692
156,17501,18523
157,17501,18382
158,17501,18243
159,17501,18132
160,17501,18014
161,17501,17924
162,17501,17779
163,17501,17662
164,17562,20913
165,17562,20768
166,17562,20651
167,17562,20509
168,17562,20395
169,17562,20268
170,17562,20169
171,17562,20027
172,17562,19913
173,17562,19795
174,17562,19705
175,17562,19593
176,17562,19509
177,17562,19379
178,17562,19277
179,17562,19159
180,17562,19068
181,17562,18866
182,17562,18692
183,17562,18523
184,17562,18382
185,17562,18243
186,17562,18132
187,17562,18014
188,17562,17924
189,17562,17779
190,17562,17662
191,17703,20913
192,17703,20768
193,17703,20651
194,17703,20509
195,17703,20395
196,17703,20268
197,17703,20169
198,17703,20027
199,17703,19913
200,17703,19795
201,17703,19705
202,17703,19593
203,17703,19509
204,17703,19379
205,17703,19277
206,17703,19159
207,17703,19068
208,17703,18866
209,17703,18692
210,17703,18523
211,17703,18382
212,17703,18243
213,17703,18132
214,17703,18014
215,17703,17924
216,17788,20913
217,17788,20768
218,17788,20651
219,17788,20509
220,17788,20395
221,17788,20268
222,17788,20169
223,17788,20027
224,17788,19913
225,17788,19795
226,17788,19705
227,17788,19593
228,17788,19509
229,17788,19379
230,17788,19277
231,17788,19159
232,17788,19068
233,17788,18866
234,17788,18692
235,17788,18523
236,17788,18382
237,17788,18243
238,17788,18132
239,17788,18014
240,17788,17924
241,17956,20913
242,17956,20768
243,17956,20651
244,17956,20509
245,17956,20395
246,17956,20268
247,17956,20169
248,17956,20027
249,17956,19913
250,17956,19795
251,17956,19705
252,17956,19593
253,17956,19509
254,17956,19379
255,17956,19277
256,17956,19159
257,17956,19068
258,17956,18866
259,17956,18692
260,17956,18523
261,17956,18382
262,17956,18243
263,17956,18132
264,18023,20913
265,18023,20768
266,18023,20651
267,18023,20509
268,18023,20395
269,18023,20268
270,18023,20169
271,18023,20027
272,18023,19913
273,18023,19795
274,18023,19705
275,18023,19593
276,18023,19509
277,18023,19379
278,18023,19277
279,18023,19159
280,18023,19068
281,18023,18866
282,18023,18692
283,18023,18523
284,18023,18382
