ExtractionA,ExtractionB
1,6
1,12
1,18
1,22
1,26
1,36
2,6
2,7
2,12
2,13
2,18
2,19
2,22
2,23
2,26
2,27
3,6
3,7
3,8
3,12
3,13
3,14
3,18
3,19
3,20
3,22
3,23
3,24
4,6
4,7
4,8
4,9
4,12
4,13
4,14
4,15
4,18
4,19
4,20
4,21
5,6
5,7
5,8
5,9
5,10
5,12
5,13
5,14
5,15
5,16
7,12
7,18
7,22
7,26
7,36
8,12
8,13
8,18
8,19
8,22
8,23
8,26
8,27
9,12
9,13
9,14
9,18
9,19
9,20
9,22
9,23
9,24
10,12
10,13
10,14
10,15
10,18
10,19
10,20
10,21
11,12
11,13
11,14
11,15
11,16
13,18
13,22
13,26
13,36
14,18
14,19
14,22
14,23
14,26
14,27
15,18
15,19
15,20
15,22
15,23
15,24
16,18
16,19
16,20
16,21
19,22
19,26
19,36
20,22
20,23
20,26
20,27
21,22
21,23
21,24
23,26
23,36
24,26
24,27
27,36
30,31
39,40
