NestedExtraction,AncestorExtraction,CCR
1,0,17
2,0,12
3,0,2
4,0,1
5,0,1
6,0,17
7,0,17
8,0,12
9,0,2
10,0,1
11,0,1
12,0,17
13,0,17
14,0,12
15,0,2
16,0,1
17,0,1
18,0,16
19,0,16
20,0,11
21,0,1
22,0,16
23,0,16
24,0,11
25,0,1
26,0,15
27,0,15
28,0,10
29,0,9
30,0,9
31,0,9
32,0,9
33,0,7
34,0,7
35,0,4
36,0,5
37,0,5
38,0,4
39,0,2
40,0,4
41,0,2
42,0,2
2,1,12
3,1,2
4,1,1
5,1,1
7,1,17
8,1,12
9,1,2
10,1,1
11,1,1
13,1,17
14,1,12
15,1,2
16,1,1
17,1,1
19,1,16
20,1,11
21,1,1
23,1,16
24,1,11
25,1,1
27,1,15
28,1,10
29,1,9
30,1,9
31,1,9
32,1,9
33,1,7
34,1,7
35,1,4
37,1,5
38,1,4
39,1,2
40,1,4
41,1,2
42,1,2
3,2,2
4,2,1
5,2,1
8,2,12
9,2,2
10,2,1
11,2,1
14,2,12
15,2,2
16,2,1
17,2,1
20,2,11
21,2,1
24,2,11
25,2,1
28,2,10
29,2,9
30,2,9
31,2,9
32,2,9
33,2,7
34,2,7
35,2,4
4,3,1
5,3,1
9,3,2
10,3,1
11,3,1
15,3,2
16,3,1
17,3,1
21,3,1
25,3,1
5,4,1
10,4,1
11,4,1
16,4,1
17,4,1
11,5,1
17,5,1
7,6,17
8,6,12
9,6,2
10,6,1
11,6,1
12,6,17
13,6,17
14,6,12
15,6,2
16,6,1
17,6,1
18,6,16
19,6,16
20,6,11
21,6,1
22,6,16
23,6,16
24,6,11
25,6,1
26,6,15
27,6,15
28,6,10
29,6,9
30,6,9
31,6,9
32,6,9
33,6,7
34,6,7
35,6,4
36,6,5
37,6,5
38,6,4
39,6,2
40,6,4
41,6,2
42,6,2
8,7,12
9,7,2
10,7,1
11,7,1
13,7,17
14,7,12
15,7,2
16,7,1
17,7,1
19,7,16
20,7,11
21,7,1
23,7,16
24,7,11
25,7,1
27,7,15
28,7,10
29,7,9
30,7,9
31,7,9
32,7,9
33,7,7
34,7,7
35,7,4
37,7,5
38,7,4
39,7,2
40,7,4
41,7,2
42,7,2
9,8,2
10,8,1
11,8,1
14,8,12
15,8,2
16,8,1
17,8,1
20,8,11
21,8,1
24,8,11
25,8,1
28,8,10
29,8,9
30,8,9
31,8,9
32,8,9
33,8,7
34,8,7
35,8,4
10,9,1
11,9,1
15,9,2
16,9,1
17,9,1
21,9,1
25,9,1
11,10,1
16,10,1
17,10,1
17,11,1
13,12,17
14,12,12
15,12,2
16,12,1
17,12,1
18,12,16
19,12,16
20,12,11
21,12,1
22,12,16
23,12,16
24,12,11
25,12,1
26,12,15
27,12,15
28,12,10
29,12,9
30,12,9
31,12,9
32,12,9
33,12,7
34,12,7
35,12,4
36,12,5
37,12,5
38,12,4
39,12,2
40,12,4
41,12,2
42,12,2
14,13,12
15,13,2
16,13,1
17,13,1
19,13,16
20,13,11
21,13,1
23,13,16
24,13,11
25,13,1
27,13,15
28,13,10
29,13,9
30,13,9
31,13,9
32,13,9
33,13,7
34,13,7
35,13,4
37,13,5
38,13,4
39,13,2
40,13,4
41,13,2
42,13,2
15,14,2
16,14,1
17,14,1
20,14,11
21,14,1
24,14,11
25,14,1
28,14,10
29,14,9
30,14,9
31,14,9
32,14,9
33,14,7
34,14,7
35,14,4
16,15,1
17,15,1
21,15,1
25,15,1
17,16,1
19,18,16
20,18,11
21,18,1
22,18,16
23,18,16
24,18,11
25,18,1
26,18,15
27,18,15
28,18,10
29,18,9
30,18,9
31,18,9
32,18,9
33,18,7
34,18,7
35,18,4
36,18,5
37,18,5
38,18,4
39,18,2
40,18,4
41,18,2
42,18,2
20,19,11
21,19,1
23,19,16
24,19,11
25,19,1
27,19,15
28,19,10
29,19,9
30,19,9
31,19,9
32,19,9
33,19,7
34,19,7
35,19,4
37,19,5
38,19,4
39,19,2
40,19,4
41,19,2
42,19,2
21,20,1
24,20,11
25,20,1
28,20,10
29,20,9
30,20,9
31,20,9
32,20,9
33,20,7
34,20,7
35,20,4
25,21,1
23,22,16
24,22,11
25,22,1
26,22,15
27,22,15
28,22,10
29,22,9
30,22,9
31,22,9
32,22,9
33,22,7
34,22,7
35,22,4
36,22,5
37,22,5
38,22,4
39,22,2
40,22,4
41,22,2
42,22,2
24,23,11
25,23,1
27,23,15
28,23,10
29,23,9
