extraction,extractedLOC,extractedMethodCC,parameters
0,52,17,0
1,50,17,0
2,35,12,0
3,11,2,0
4,8,1,0
5,6,1,0
6,50,17,1
7,48,17,1
8,33,12,1
9,9,2,1
10,6,1,1
11,4,1,1
12,49,17,1
13,47,17,1
14,32,12,1
15,8,2,1
16,5,1,1
17,3,1,1
18,45,16,1
19,43,16,1
20,28,11,1
21,4,1,1
22,44,16,1
23,42,16,1
24,27,11,1
25,3,1,1
26,39,15,1
27,37,15,1
28,22,10,1
29,18,6,2
30,17,6,2
31,17,6,2
32,16,6,2
33,14,3,3
34,10,3,2
35,8,1,3
36,15,5,1
37,13,5,1
38,10,2,2
39,5,1,2
40,9,2,2
41,4,1,2
42,4,1,2
