extraction,A,B
0,13711,16496
1,13711,16472
2,13711,16434
3,13711,16398
4,13711,16361
5,13711,15948
6,13711,15117
7,13711,14998
8,13711,14878
9,13711,14724
10,13711,14569
11,13711,14418
12,13711,14266
13,13711,14220
14,13711,14132
15,13711,14044
16,13711,13886
17,13737,16496
18,13737,16472
19,13737,16434
20,13737,16398
21,13737,16361
22,13737,15948
23,13737,15117
24,13737,14998
25,13737,14878
26,13737,14724
27,13737,14569
28,13737,14418
29,13737,14266
30,13737,14220
31,13737,14132
32,13737,14044
33,13737,13886
34,13895,16496
35,13895,16472
36,13895,16434
37,13895,16398
38,13895,16361
39,13895,15948
40,13895,15117
41,13895,14998
42,13895,14878
43,13895,14724
44,13895,14569
45,13895,14418
46,13895,14266
47,13895,14220
48,13895,14132
49,13895,14044
50,14053,16496
51,14053,16472
52,14053,16434
53,14053,16398
54,14053,16361
55,14053,15948
56,14053,15117
57,14053,14998
58,14053,14878
59,14053,14724
60,14053,14569
61,14053,14418
62,14053,14266
63,14053,14220
64,14053,14132
65,14141,16496
66,14141,16472
67,14141,16434
68,14141,16398
69,14141,16361
70,14141,15948
71,14141,15117
72,14141,14998
73,14141,14878
74,14141,14724
75,14141,14569
76,14141,14418
77,14141,14266
78,14141,14220
79,14230,16496
80,14230,16472
81,14230,16434
82,14230,16398
83,14230,16361
84,14230,15948
85,14230,15117
86,14230,14998
87,14230,14878
88,14230,14724
89,14230,14569
90,14230,14418
91,14276,16496
92,14276,16472
93,14276,16434
94,14276,16398
95,14276,16361
96,14276,15948
97,14276,15117
98,14276,14998
99,14276,14878
100,14276,14724
101,14276,14569
102,14276,14418
103,14427,16496
104,14427,16472
105,14427,16434
106,14427,16398
107,14427,16361
108,14427,15948
109,14427,15117
110,14427,14998
111,14427,14878
112,14427,14724
113,14427,14569
114,14579,16496
115,14579,16472
116,14579,16434
117,14579,16398
118,14579,16361
119,14579,15948
120,14579,15117
121,14579,14998
122,14579,14878
123,14579,14724
124,14733,16496
125,14733,16472
126,14733,16434
127,14733,16398
128,14733,16361
129,14733,15948
130,14733,15117
131,14733,14998
132,14733,14878
133,14888,16496
134,14888,16472
135,14888,16434
136,14888,16398
137,14888,16361
138,14888,15948
139,14888,15117
140,14888,14998
141,15007,16496
142,15007,16472
143,15007,16434
144,15007,16398
145,15007,16361
146,15007,15948
147,15007,15117
148,15127,16496
149,15127,16472
150,15127,16434
151,15127,16398
152,15127,16361
153,15127,15948
154,15215,15938
155,15215,15839
156,15280,15938
157,15280,15839
158,15322,15938
159,15322,15839
160,15415,15938
161,15415,15839
162,15852,15938
163,15958,16496
164,15958,16472
165,15958,16434
166,15958,16398
167,15958,16361
168,16046,16351
169,16111,16351
170,16153,16351
