NestedExtraction,AncestorExtraction,CCR
1,0,16
2,0,16
3,0,16
4,0,15
5,0,15
6,0,15
7,0,15
8,0,15
9,0,12
10,0,12
11,0,12
12,0,9
13,0,9
14,0,9
15,0,9
16,0,9
17,0,9
18,0,5
19,0,5
20,0,5
3,1,16
4,1,15
5,1,15
6,1,15
7,1,15
8,1,15
9,1,12
10,1,12
11,1,12
12,1,9
13,1,9
14,1,9
15,1,9
16,1,9
17,1,9
18,1,5
19,1,5
20,1,5
3,2,16
4,2,15
5,2,15
6,2,15
7,2,15
8,2,15
9,2,12
10,2,12
11,2,12
12,2,9
13,2,9
14,2,9
15,2,9
16,2,9
17,2,9
18,2,5
19,2,5
20,2,5
4,3,15
5,3,15
6,3,15
7,3,15
8,3,15
9,3,12
10,3,12
11,3,12
12,3,9
13,3,9
14,3,9
15,3,9
16,3,9
17,3,9
18,3,5
19,3,5
20,3,5
5,4,11
6,4,11
7,4,11
8,4,11
9,4,9
10,4,9
11,4,9
12,4,7
13,4,7
14,4,7
15,4,7
16,4,7
17,4,7
18,4,4
19,4,4
20,4,4
6,5,11
7,5,11
8,5,11
9,5,9
10,5,9
11,5,9
12,5,7
13,5,7
14,5,7
15,5,7
16,5,7
17,5,7
18,5,4
19,5,4
20,5,4
7,6,11
8,6,11
9,6,9
10,6,9
11,6,9
12,6,7
13,6,7
14,6,7
15,6,7
16,6,7
17,6,7
18,6,4
19,6,4
20,6,4
8,7,11
9,7,9
10,7,9
11,7,9
12,7,7
13,7,7
14,7,7
15,7,7
16,7,7
17,7,7
18,7,4
19,7,4
20,7,4
9,8,9
10,8,9
11,8,9
12,8,7
13,8,7
14,8,7
15,8,7
16,8,7
17,8,7
18,8,4
19,8,4
20,8,4
10,9,6
11,9,6
12,9,5
13,9,5
14,9,5
15,9,5
16,9,5
17,9,5
18,9,3
19,9,3
20,9,3
11,10,6
12,10,5
13,10,5
14,10,5
15,10,5
16,10,5
17,10,5
18,10,3
19,10,3
20,10,3
12,11,5
13,11,5
14,11,5
15,11,5
16,11,5
17,11,5
18,11,3
19,11,3
20,11,3
13,12,3
14,12,3
15,12,3
16,12,3
17,12,3
18,12,2
19,12,2
20,12,2
15,13,3
17,13,3
18,13,2
19,13,2
20,13,2
15,14,3
16,14,3
17,14,3
18,14,2
19,14,2
20,14,2
17,15,3
18,15,2
19,15,2
20,15,2
17,16,3
18,16,2
19,16,2
20,16,2
18,17,2
19,17,2
20,17,2
19,18,1
20,18,1
20,19,1
