extraction,A,B
0,7808,11653
1,7845,11653
2,8688,9022
3,8688,8955
4,8786,9022
5,8786,8955
6,8960,9022
7,9030,11653
8,9575,11577
9,9623,11179
10,9679,11179
11,9708,10509
12,9778,10509
13,9820,10502
14,9882,10502
15,9952,10502
16,9971,10368
17,9971,10259
18,10037,10368
19,10037,10259
20,10268,10368
21,10525,11179
22,10554,11173
23,10624,11173
24,10666,11166
25,10728,11166
26,10747,11030
27,10845,11030
28,10881,11021
29,10945,11021
30,11193,11577
31,11272,11493
32,11334,11487
33,11390,11487
34,11425,11487
35,11507,11577
