extraction,A,B
0,137989,141078
1,137989,141064
2,138035,141078
3,138035,141064
4,138091,141058
5,138091,138528
6,138091,138256
7,138091,138174
8,138091,138129
9,138136,141058
10,138136,138528
11,138136,138256
12,138136,138174
13,138226,141058
14,138307,141058
15,138378,141058
16,138476,141058
17,138536,141058
18,138754,141058
19,138959,141058
20,139542,139808
21,139576,139808
22,139829,141058
23,140030,141058
24,140240,141058
25,140455,141058
26,140672,141058
27,140794,141050
28,140828,141050
