NestedExtraction,AncestorExtraction,CCR
1,0,40
2,0,40
3,0,40
4,0,30
5,0,30
6,0,30
7,0,20
8,0,20
9,0,20
10,0,10
11,0,10
12,0,10
13,0,40
14,0,40
15,0,40
16,0,30
17,0,30
18,0,30
19,0,20
20,0,20
21,0,20
22,0,10
23,0,10
24,0,10
25,0,40
26,0,40
27,0,40
28,0,30
29,0,30
30,0,30
31,0,20
32,0,20
33,0,20
34,0,10
35,0,10
36,0,10
37,0,9
38,0,7
39,0,7
40,0,3
41,0,30
42,0,30
43,0,30
44,0,20
45,0,20
46,0,20
47,0,10
48,0,10
49,0,10
50,0,30
51,0,30
52,0,30
53,0,20
54,0,20
55,0,20
56,0,10
57,0,10
58,0,10
59,0,30
60,0,30
61,0,30
62,0,20
63,0,20
64,0,20
65,0,10
66,0,10
67,0,10
68,0,9
69,0,7
70,0,7
71,0,3
72,0,20
73,0,20
74,0,20
75,0,10
76,0,10
77,0,10
78,0,20
79,0,20
80,0,20
81,0,10
82,0,10
83,0,10
84,0,20
85,0,20
86,0,20
87,0,10
88,0,10
89,0,10
90,0,9
91,0,7
92,0,7
93,0,3
94,0,10
95,0,10
96,0,10
97,0,10
98,0,10
99,0,10
100,0,10
101,0,10
102,0,10
103,0,9
104,0,7
105,0,7
106,0,3
2,1,40
3,1,40
4,1,30
5,1,30
6,1,30
7,1,20
8,1,20
9,1,20
10,1,10
11,1,10
12,1,10
13,1,40
14,1,40
15,1,40
16,1,30
17,1,30
18,1,30
19,1,20
20,1,20
21,1,20
22,1,10
23,1,10
24,1,10
25,1,40
26,1,40
27,1,40
28,1,30
29,1,30
30,1,30
31,1,20
32,1,20
33,1,20
34,1,10
35,1,10
36,1,10
37,1,9
38,1,7
39,1,7
40,1,3
41,1,30
42,1,30
43,1,30
44,1,20
45,1,20
46,1,20
47,1,10
48,1,10
49,1,10
50,1,30
51,1,30
52,1,30
53,1,20
54,1,20
55,1,20
56,1,10
57,1,10
58,1,10
59,1,30
60,1,30
61,1,30
62,1,20
63,1,20
64,1,20
65,1,10
66,1,10
67,1,10
68,1,9
69,1,7
70,1,7
71,1,3
72,1,20
73,1,20
74,1,20
75,1,10
76,1,10
77,1,10
78,1,20
79,1,20
80,1,20
81,1,10
82,1,10
83,1,10
84,1,20
85,1,20
86,1,20
87,1,10
88,1,10
89,1,10
90,1,9
91,1,7
92,1,7
93,1,3
94,1,10
95,1,10
96,1,10
97,1,10
98,1,10
99,1,10
100,1,10
101,1,10
102,1,10
103,1,9
104,1,7
105,1,7
106,1,3
3,2,40
4,2,30
5,2,30
6,2,30
7,2,20
8,2,20
9,2,20
10,2,10
11,2,10
12,2,10
14,2,40
15,2,40
16,2,30
17,2,30
18,2,30
19,2,20
20,2,20
21,2,20
22,2,10
23,2,10
24,2,10
26,2,40
27,2,40
28,2,30
29,2,30
30,2,30
31,2,20
32,2,20
33,2,20
34,2,10
35,2,10
36,2,10
37,2,9
38,2,7
39,2,7
40,2,3
42,2,30
43,2,30
44,2,20
45,2,20
46,2,20
47,2,10
48,2,10
49,2,10
51,2,30
52,2,30
53,2,20
54,2,20
55,2,20
56,2,10
57,2,10
58,2,10
60,2,30
61,2,30
62,2,20
63,2,20
64,2,20
65,2,10
66,2,10
67,2,10
68,2,9
69,2,7
70,2,7
71,2,3
73,2,20
74,2,20
75,2,10
76,2,10
77,2,10
79,2,20
80,2,20
81,2,10
82,2,10
83,2,10
85,2,20
86,2,20
87,2,10
88,2,10
89,2,10
90,2,9
91,2,7
92,2,7
93,2,3
95,2,10
96,2,10
98,2,10
99,2,10
101,2,10
102,2,10
103,2,9
104,2,7
105,2,7
106,2,3
4,3,30
5,3,30
6,3,30
7,3,20
8,3,20
9,3,20
10,3,10
11,3,10
12,3,10
15,3,40
16,3,30
17,3,30
18,3,30
19,3,20
20,3,20
21,3,20
22,3,10
23,3,10
24,3,10
27,3,40
28,3,30
29,3,30
30,3,30
31,3,20
32,3,20
33,3,20
34,3,10
35,3,10
36,3,10
37,3,9
38,3,7
39,3,7
40,3,3
43,3,30
44,3,20
45,3,20
46,3,20
47,3,10
48,3,10
49,3,10
52,3,30
53,3,20
54,3,20
55,3,20
56,3,10
57,3,10
58,3,10
61,3,30
62,3,20
63,3,20
64,3,20
65,3,10
66,3,10
67,3,10
68,3,9
69,3,7
70,3,7
71,3,3
74,3,20
75,3,10
76,3,10
77,3,10
80,3,20
81,3,10
82,3,10
83,3,10
86,3,20
87,3,10
88,3,10
89,3,10
90,3,9
91,3,7
92,3,7
93,3,3
96,3,10
99,3,10
102,3,10
103,3,9
104,3,7
105,3,7
106,3,3
5,4,30
6,4,30
7,4,20
8,4,20
9,4,20
10,4,10
11,4,10
12,4,10
16,4,30
17,4,30
18,4,30
19,4,20
20,4,20
21,4,20
22,4,10
23,4,10
24,4,10
28,4,30
29,4,30
30,4,30
31,4,20
32,4,20
33,4,20
34,4,10
35,4,10
36,4,10
37,4,9
38,4,7
39,4,7
40,4,3
44,4,20
45,4,20
46,4,20
47,4,10
48,4,10
49,4,10
53,4,20
54,4,20
55,4,20
56,4,10
57,4,10
58,4,10
62,4,20
63,4,20
64,4,20
65,4,10
66,4,10
67,4,10
68,4,9
69,4,7
70,4,7
71,4,3
75,4,10
76,4,10
77,4,10
81,4,10
82,4,10
83,4,10
87,4,10
88,4,10
89,4,10
90,4,9
91,4,7
92,4,7
93,4,3
6,5,30
7,5,20
8,5,20
9,5,20
10,5,10
11,5,10
12,5,10
17,5,30
18,5,30
19,5,20
20,5,20
21,5,20
22,5,10
23,5,10
24,5,10
29,5,30
30,5,30
31,5,20
32,5,20
33,5,20
34,5,10
35,5,10
36,5,10
37,5,9
38,5,7
39,5,7
40,5,3
45,5,20
46,5,20
47,5,10
48,5,10
49,5,10
54,5,20
55,5,20
56,5,10
57,5,10
58,5,10
63,5,20
64,5,20
65,5,10
66,5,10
67,5,10
68,5,9
69,5,7
70,5,7
71,5,3
76,5,10
77,5,10
82,5,10
83,5,10
88,5,10
89,5,10
90,5,9
91,5,7
92,5,7
93,5,3
7,6,20
8,6,20
9,6,20
10,6,10
11,6,10
12,6,10
18,6,30
19,6,20
20,6,20
21,6,20
22,6,10
23,6,10
24,6,10
30,6,30
31,6,20
32,6,20
33,6,20
34,6,10
35,6,10
36,6,10
37,6,9
38,6,7
39,6,7
40,6,3
46,6,20
47,6,10
48,6,10
49,6,10
55,6,20
56,6,10
57,6,10
58,6,10
64,6,20
65,6,10
66,6,10
67,6,10
68,6,9
69,6,7
70,6,7
71,6,3
77,6,10
83,6,10
89,6,10
90,6,9
91,6,7
92,6,7
93,6,3
8,7,20
9,7,20
10,7,10
11,7,10
12,7,10
19,7,20
20,7,20
21,7,20
22,7,10
23,7,10
24,7,10
31,7,20
32,7,20
33,7,20
34,7,10
35,7,10
36,7,10
37,7,9
38,7,7
39,7,7
40,7,3
47,7,10
48,7,10
49,7,10
56,7,10
57,7,10
58,7,10
65,7,10
66,7,10
67,7,10
68,7,9
69,7,7
70,7,7
71,7,3
9,8,20
10,8,10
11,8,10
12,8,10
20,8,20
21,8,20
22,8,10
23,8,10
24,8,10
32,8,20
33,8,20
34,8,10
35,8,10
36,8,10
37,8,9
38,8,7
39,8,7
40,8,3
48,8,10
49,8,10
57,8,10
58,8,10
66,8,10
67,8,10
68,8,9
69,8,7
70,8,7
71,8,3
10,9,10
11,9,10
12,9,10
21,9,20
22,9,10
23,9,10
24,9,10
33,9,20
34,9,10
35,9,10
36,9,10
37,9,9
38,9,7
39,9,7
40,9,3
49,9,10
58,9,10
67,9,10
68,9,9
69,9,7
70,9,7
71,9,3
11,10,10
12,10,10
22,10,10
23,10,10
24,10,10
34,10,10
35,10,10
36,10,10
37,10,9
38,10,7
39,10,7
40,10,3
12,11,10
23,11,10
24,11,10
35,11,10
36,11,10
37,11,9
38,11,7
39,11,7
40,11,3
24,12,10
36,12,10
37,12,9
38,12,7
39,12,7
40,12,3
14,13,40
15,13,40
16,13,30
17,13,30
18,13,30
19,13,20
20,13,20
21,13,20
22,13,10
23,13,10
24,13,10
25,13,40
26,13,40
27,13,40
28,13,30
29,13,30
30,13,30
31,13,20
32,13,20
33,13,20
34,13,10
35,13,10
36,13,10
37,13,9
38,13,7
39,13,7
40,13,3
41,13,30
42,13,30
43,13,30
44,13,20
45,13,20
46,13,20
47,13,10
48,13,10
49,13,10
50,13,30
51,13,30
52,13,30
53,13,20
54,13,20
55,13,20
56,13,10
57,13,10
58,13,10
59,13,30
60,13,30
61,13,30
62,13,20
63,13,20
64,13,20
65,13,10
66,13,10
67,13,10
68,13,9
69,13,7
70,13,7
71,13,3
72,13,20
73,13,20
74,13,20
75,13,10
76,13,10
77,13,10
78,13,20
79,13,20
80,13,20
81,13,10
82,13,10
83,13,10
84,13,20
85,13,20
86,13,20
87,13,10
88,13,10
89,13,10
90,13,9
91,13,7
92,13,7
93,13,3
94,13,10
95,13,10
96,13,10
97,13,10
98,13,10
99,13,10
100,13,10
101,13,10
102,13,10
103,13,9
104,13,7
105,13,7
106,13,3
15,14,40
16,14,30
17,14,30
18,14,30
19,14,20
20,14,20
21,14,20
22,14,10
23,14,10
24,14,10
26,14,40
27,14,40
28,14,30
29,14,30
30,14,30
31,14,20
32,14,20
33,14,20
34,14,10
35,14,10
36,14,10
37,14,9
38,14,7
39,14,7
40,14,3
42,14,30
43,14,30
44,14,20
45,14,20
46,14,20
47,14,10
48,14,10
49,14,10
51,14,30
52,14,30
53,14,20
54,14,20
55,14,20
56,14,10
57,14,10
58,14,10
60,14,30
61,14,30
62,14,20
63,14,20
64,14,20
65,14,10
66,14,10
67,14,10
68,14,9
69,14,7
70,14,7
71,14,3
73,14,20
74,14,20
75,14,10
76,14,10
77,14,10
79,14,20
80,14,20
81,14,10
82,14,10
83,14,10
85,14,20
86,14,20
87,14,10
88,14,10
89,14,10
90,14,9
91,14,7
92,14,7
93,14,3
95,14,10
96,14,10
98,14,10
99,14,10
101,14,10
102,14,10
103,14,9
104,14,7
105,14,7
106,14,3
16,15,30
17,15,30
18,15,30
19,15,20
20,15,20
21,15,20
22,15,10
23,15,10
24,15,10
27,15,40
28,15,30
29,15,30
30,15,30
31,15,20
32,15,20
33,15,20
34,15,10
35,15,10
36,15,10
37,15,9
38,15,7
39,15,7
40,15,3
43,15,30
44,15,20
45,15,20
46,15,20
47,15,10
48,15,10
49,15,10
52,15,30
53,15,20
54,15,20
55,15,20
56,15,10
57,15,10
58,15,10
61,15,30
62,15,20
63,15,20
64,15,20
65,15,10
66,15,10
67,15,10
68,15,9
69,15,7
70,15,7
71,15,3
74,15,20
75,15,10
76,15,10
77,15,10
80,15,20
81,15,10
82,15,10
83,15,10
86,15,20
87,15,10
88,15,10
89,15,10
90,15,9
91,15,7
92,15,7
93,15,3
96,15,10
99,15,10
102,15,10
103,15,9
104,15,7
105,15,7
106,15,3
17,16,30
18,16,30
19,16,20
20,16,20
21,16,20
22,16,10
23,16,10
24,16,10
28,16,30
29,16,30
30,16,30
31,16,20
32,16,20
33,16,20
34,16,10
35,16,10
36,16,10
37,16,9
38,16,7
39,16,7
40,16,3
44,16,20
45,16,20
46,16,20
47,16,10
48,16,10
49,16,10
53,16,20
54,16,20
55,16,20
56,16,10
57,16,10
58,16,10
62,16,20
63,16,20
64,16,20
65,16,10
66,16,10
67,16,10
68,16,9
69,16,7
70,16,7
71,16,3
75,16,10
76,16,10
77,16,10
