extraction,extractedLOC,extractedMethodCC
0,73,41
1,68,40
2,67,40
3,66,40
4,52,30
5,51,30
6,50,30
7,36,20
8,35,20
9,34,20
10,20,10
11,19,10
12,18,10
13,65,40
14,64,40
15,63,40
16,49,30
17,48,30
18,47,30
19,33,20
20,32,20
21,31,20
22,17,10
23,16,10
24,15,10
25,64,40
26,63,40
27,62,40
28,48,30
29,47,30
30,46,30
31,32,20
32,31,20
33,30,20
34,16,10
35,15,10
36,14,10
37,12,7
38,10,5
39,9,5
40,6,3
41,50,30
42,49,30
43,48,30
44,34,20
45,33,20
46,32,20
47,18,10
48,17,10
49,16,10
50,49,30
51,48,30
52,47,30
53,33,20
54,32,20
55,31,20
56,17,10
57,16,10
58,15,10
59,48,30
60,47,30
61,46,30
62,32,20
63,31,20
64,30,20
65,16,10
66,15,10
67,14,10
68,12,7
69,10,5
70,9,5
71,6,3
72,34,20
73,33,20
74,32,20
75,18,10
76,17,10
77,16,10
78,33,20
79,32,20
80,31,20
81,17,10
82,16,10
83,15,10
84,32,20
85,31,20
86,30,20
87,16,10
88,15,10
89,14,10
90,12,7
91,10,5
92,9,5
93,6,3
94,18,10
95,17,10
96,16,10
97,17,10
98,16,10
99,15,10
100,16,10
101,15,10
102,14,10
103,12,7
104,10,5
105,9,5
106,6,3
