ExtractionA,ExtractionB
5,8
5,12
5,14
6,8
6,9
6,12
6,13
7,8
7,9
7,10
9,12
9,14
10,12
10,13
13,14
36,37
36,39
38,39
51,54
51,58
51,62
52,54
52,55
52,58
52,59
52,62
52,63
53,54
53,55
53,56
53,58
53,59
53,60
53,62
53,63
53,64
55,58
55,62
56,58
56,59
56,62
56,63
57,58
57,59
57,60
57,62
57,63
57,64
59,62
60,62
60,63
61,62
61,63
61,64
88,89
93,97
93,102
93,107
93,112
93,117
93,120
94,97
94,98
94,102
94,103
94,107
94,108
94,112
94,113
94,117
94,118
94,120
94,121
95,97
95,98
95,99
95,102
95,103
95,104
95,107
95,108
95,109
95,112
95,113
95,114
95,117
95,118
95,119
96,97
96,98
96,99
96,100
96,102
96,103
96,104
96,105
96,107
96,108
96,109
96,110
96,112
96,113
96,114
96,115
98,102
98,107
98,112
98,117
98,120
99,102
99,103
99,107
99,108
99,112
99,113
99,117
99,118
99,120
99,121
100,102
100,103
100,104
100,107
100,108
100,109
100,112
100,113
100,114
100,117
100,118
100,119
101,102
101,103
101,104
101,105
101,107
101,108
101,109
101,110
101,112
101,113
101,114
101,115
103,107
103,112
103,117
103,120
104,107
104,108
104,112
104,113
104,117
104,118
104,120
104,121
105,107
105,108
105,109
105,112
105,113
105,114
105,117
105,118
105,119
106,107
106,108
106,109
106,110
106,112
106,113
106,114
106,115
108,112
108,117
108,120
109,112
109,113
109,117
109,118
109,120
109,121
110,112
110,113
110,114
110,117
110,118
110,119
111,112
111,113
111,114
111,115
113,117
113,120
114,117
114,118
114,120
114,121
115,117
115,118
115,119
118,120
119,120
119,121
