extraction,A,B
0,176498,185720
1,176514,185720
2,176527,185720
3,176549,185720
4,176593,185554
5,176593,185509
6,176593,176848
7,176593,176761
8,176674,185554
9,176674,185509
10,176674,176848
11,176674,176761
12,176807,185554
13,176807,185509
14,176884,185554
15,176884,185509
16,176916,176956
17,176993,177113
18,177263,177383
19,177541,177661
20,177816,177936
21,177945,178097
22,177977,178097
23,178057,178097
24,178106,178226
25,178434,178554
26,178700,178820
27,178971,179091
28,179100,179311
29,179132,179311
30,179271,179311
31,179354,179474
32,179672,179792
33,180055,180175
34,180338,180458
35,180467,180650
36,180467,180603
37,180499,180650
38,180499,180603
39,180563,180650
40,180563,180603
41,180729,180813
42,180880,181181
43,180944,181181
44,180957,181181
45,180998,181171
46,181277,181539
47,181343,181539
48,181393,181514
49,181393,181490
50,181569,183666
51,181569,183576
52,181569,183546
53,181569,183516
54,181599,183666
55,181599,183576
56,181599,183546
57,181599,183516
58,181629,183666
59,181629,183576
60,181629,183546
61,181629,183516
62,181682,183666
63,181682,183576
64,181682,183546
65,181682,183516
66,181727,183506
67,181764,183506
68,181824,183506
69,181880,183506
70,181936,183506
71,181992,183506
72,182050,183506
73,182107,183506
74,182188,183506
75,182229,183506
76,182270,183506
77,182299,183506
78,183153,183506
79,183184,183506
80,183215,183506
81,183246,183506
82,183277,183506
83,183308,183506
84,183339,183506
85,183456,183506
86,183770,183867
87,183909,184053
88,183909,183993
89,183939,184053
90,183939,183993
91,184139,184229
92,184301,184816
93,184301,184786
94,184301,184710
95,184301,184535
96,184301,184472
97,184331,184816
98,184331,184786
99,184331,184710
100,184331,184535
101,184331,184472
102,184361,184816
103,184361,184786
104,184361,184710
105,184361,184535
106,184361,184472
107,184391,184816
108,184391,184786
109,184391,184710
110,184391,184535
111,184391,184472
112,184421,184816
113,184421,184786
114,184421,184710
115,184421,184535
116,184421,184472
117,184481,184816
118,184481,184786
119,184481,184710
120,184544,184816
121,184544,184786
122,184544,184710
123,185084,185405
124,185149,185405
125,185193,185405
126,185216,185405
127,185266,185391
128,185436,185501
