NestedExtraction,AncestorExtraction,CCR
1,0,126
2,0,126
3,0,126
4,0,125
5,0,125
6,0,1
7,0,1
8,0,125
9,0,125
10,0,1
11,0,1
12,0,124
13,0,124
14,0,124
15,0,124
16,0,2
17,0,5
18,0,5
19,0,5
20,0,5
21,0,2
22,0,2
23,0,2
24,0,5
25,0,5
26,0,5
27,0,5
28,0,2
29,0,2
30,0,2
31,0,5
32,0,5
33,0,5
34,0,5
35,0,2
36,0,2
37,0,2
38,0,2
39,0,2
40,0,2
41,0,3
42,0,5
43,0,5
44,0,5
45,0,3
46,0,5
47,0,5
48,0,3
49,0,3
50,0,5
51,0,5
52,0,5
53,0,5
54,0,5
55,0,5
56,0,5
57,0,5
58,0,5
59,0,5
60,0,5
61,0,5
62,0,5
63,0,5
64,0,5
65,0,5
66,0,3
67,0,3
68,0,3
69,0,3
70,0,3
71,0,3
72,0,3
73,0,3
74,0,3
75,0,3
76,0,3
77,0,3
78,0,3
79,0,3
80,0,3
81,0,3
82,0,3
83,0,3
84,0,3
85,0,3
86,0,3
87,0,2
88,0,2
89,0,2
90,0,2
91,0,3
92,0,4
93,0,4
94,0,4
95,0,2
96,0,2
97,0,4
98,0,4
99,0,4
100,0,2
101,0,2
102,0,4
103,0,4
104,0,4
105,0,2
106,0,2
107,0,4
108,0,4
109,0,4
110,0,2
111,0,2
112,0,4
113,0,4
114,0,4
115,0,2
116,0,2
117,0,2
118,0,2
119,0,2
120,0,2
121,0,2
122,0,2
123,0,9
124,0,9
125,0,9
126,0,9
127,0,5
128,0,2
2,1,126
3,1,126
4,1,125
5,1,125
6,1,1
7,1,1
8,1,125
9,1,125
10,1,1
11,1,1
12,1,124
13,1,124
14,1,124
15,1,124
16,1,2
17,1,5
18,1,5
19,1,5
20,1,5
21,1,2
22,1,2
23,1,2
24,1,5
25,1,5
26,1,5
27,1,5
28,1,2
29,1,2
30,1,2
31,1,5
32,1,5
33,1,5
34,1,5
35,1,2
36,1,2
37,1,2
38,1,2
39,1,2
40,1,2
41,1,3
42,1,5
43,1,5
44,1,5
45,1,3
46,1,5
47,1,5
48,1,3
49,1,3
50,1,5
51,1,5
52,1,5
53,1,5
54,1,5
55,1,5
56,1,5
57,1,5
58,1,5
59,1,5
60,1,5
61,1,5
62,1,5
63,1,5
64,1,5
65,1,5
66,1,3
67,1,3
68,1,3
69,1,3
70,1,3
71,1,3
72,1,3
73,1,3
74,1,3
75,1,3
76,1,3
77,1,3
78,1,3
79,1,3
80,1,3
81,1,3
82,1,3
83,1,3
84,1,3
85,1,3
86,1,3
87,1,2
88,1,2
89,1,2
90,1,2
91,1,3
92,1,4
93,1,4
94,1,4
95,1,2
96,1,2
97,1,4
98,1,4
99,1,4
100,1,2
101,1,2
102,1,4
103,1,4
104,1,4
105,1,2
106,1,2
107,1,4
108,1,4
109,1,4
110,1,2
111,1,2
112,1,4
113,1,4
114,1,4
115,1,2
116,1,2
117,1,2
118,1,2
119,1,2
120,1,2
121,1,2
122,1,2
123,1,9
124,1,9
125,1,9
126,1,9
127,1,5
128,1,2
3,2,126
4,2,125
5,2,125
6,2,1
7,2,1
8,2,125
9,2,125
10,2,1
11,2,1
12,2,124
13,2,124
14,2,124
15,2,124
16,2,2
17,2,5
18,2,5
19,2,5
20,2,5
21,2,2
22,2,2
23,2,2
24,2,5
25,2,5
26,2,5
27,2,5
28,2,2
29,2,2
30,2,2
