NestedExtraction,AncestorExtraction,CCR
1,0,20
2,0,20
3,0,20
4,0,18
5,0,15
6,0,12
7,0,9
8,0,6
9,0,3
10,0,15
11,0,12
12,0,9
13,0,6
14,0,3
15,0,12
16,0,9
17,0,6
18,0,3
19,0,9
20,0,6
21,0,3
22,0,6
23,0,3
24,0,3
2,1,13
3,1,13
4,1,12
5,1,10
6,1,8
7,1,6
8,1,4
9,1,2
10,1,10
11,1,8
12,1,6
13,1,4
14,1,2
15,1,8
16,1,6
17,1,4
18,1,2
19,1,6
20,1,4
21,1,2
22,1,4
23,1,2
24,1,2
3,2,13
4,2,12
5,2,10
6,2,8
7,2,6
8,2,4
9,2,2
10,2,10
11,2,8
12,2,6
13,2,4
14,2,2
15,2,8
16,2,6
17,2,4
18,2,2
19,2,6
20,2,4
21,2,2
22,2,4
23,2,2
24,2,2
4,3,12
5,3,10
6,3,8
7,3,6
8,3,4
9,3,2
10,3,10
11,3,8
12,3,6
13,3,4
14,3,2
15,3,8
16,3,6
17,3,4
18,3,2
19,3,6
20,3,4
21,3,2
22,3,4
23,3,2
24,3,2
5,4,5
6,4,4
7,4,3
8,4,2
9,4,1
10,4,5
11,4,4
12,4,3
13,4,2
14,4,1
15,4,4
16,4,3
17,4,2
18,4,1
19,4,3
20,4,2
21,4,1
22,4,2
23,4,1
24,4,1
6,5,4
7,5,3
8,5,2
9,5,1
11,5,4
12,5,3
13,5,2
14,5,1
16,5,3
17,5,2
18,5,1
20,5,2
21,5,1
23,5,1
7,6,3
8,6,2
9,6,1
12,6,3
13,6,2
14,6,1
17,6,2
18,6,1
21,6,1
8,7,2
9,7,1
13,7,2
14,7,1
18,7,1
9,8,1
14,8,1
11,10,4
12,10,3
13,10,2
14,10,1
15,10,4
16,10,3
17,10,2
18,10,1
19,10,3
20,10,2
21,10,1
22,10,2
23,10,1
24,10,1
12,11,3
13,11,2
14,11,1
16,11,3
17,11,2
18,11,1
20,11,2
21,11,1
23,11,1
13,12,2
14,12,1
17,12,2
18,12,1
21,12,1
14,13,1
18,13,1
16,15,3
17,15,2
18,15,1
19,15,3
20,15,2
21,15,1
22,15,2
23,15,1
24,15,1
17,16,2
18,16,1
20,16,2
21,16,1
23,16,1
18,17,1
21,17,1
20,19,2
21,19,1
22,19,2
23,19,1
24,19,1
21,20,1
23,20,1
23,22,1
24,22,1
