extraction,A,B
0,131454,137888
1,131454,137857
2,131542,137888
3,131542,137857
4,131580,137888
5,131580,137857
6,131621,137888
7,131621,137857
8,131677,137888
9,131677,137857
10,131734,137888
11,131734,137857
12,131758,137888
13,131758,137857
14,131793,137888
15,131793,137857
16,131813,137888
17,131813,137857
18,131893,137888
19,131893,137857
20,131971,137888
21,131971,137857
22,132049,137888
23,132049,137857
24,132127,137888
25,132127,137857
26,132205,137888
27,132205,137857
28,132283,137888
29,132283,137857
30,132361,137888
31,132361,137857
32,132445,137888
33,132445,137857
34,132529,137888
35,132529,137857
36,132613,137888
37,132613,137857
38,132697,137888
39,132697,137857
40,132781,137888
41,132781,137857
42,132911,137888
43,132911,137857
44,132968,137840
45,133044,137832
46,133090,137832
47,133120,137832
48,133218,137832
49,133250,137832
50,133282,137832
51,133314,137832
52,133346,137832
53,133378,137832
54,133493,137832
55,133555,137832
56,133617,137832
57,133676,137832
58,133735,137832
59,133793,137832
60,134064,137832
61,134064,134555
62,134136,137832
63,134136,134555
64,134161,137832
65,134161,134555
66,134228,137832
67,134228,134555
68,134565,137832
69,134708,137231
70,134708,136701
71,134708,136331
72,134740,137231
73,134740,136701
74,134740,136331
75,134766,137231
76,134766,136701
77,134766,136331
78,134892,137231
79,134892,136701
80,134892,136331
81,134924,137231
82,134924,136701
83,134924,136331
84,134950,137231
85,134950,136701
86,134950,136331
87,134950,135649
88,135003,137231
89,135003,136701
90,135003,136331
91,135003,135961
92,135003,135767
93,135003,135696
94,135003,135649
95,135003,135278
96,135022,137231
97,135022,136701
98,135022,136331
99,135022,135961
100,135022,135767
101,135022,135696
102,135022,135649
103,135022,135278
104,135094,137231
105,135094,136701
106,135094,136331
107,135094,135961
108,135094,135767
109,135094,135696
110,135094,135649
111,135094,135278
112,135289,137231
113,135289,136701
114,135289,136331
115,135289,135961
116,135289,135767
117,135289,135696
118,135289,135649
119,135289,135563
120,135308,137231
121,135308,136701
122,135308,136331
123,135308,135961
124,135308,135767
125,135308,135696
126,135308,135649
127,135308,135563
128,135379,137231
129,135379,136701
130,135379,136331
131,135379,135961
132,135379,135767
133,135379,135696
134,135379,135649
135,135379,135563
136,135607,137231
137,135607,136701
138,135607,136331
139,135607,135961
140,135688,137231
141,135688,136701
142,135688,136331
143,135688,135961
144,135707,137231
145,135707,136701
146,135707,136331
147,135707,135961
148,135778,137231
149,135778,136701
150,135778,136331
151,135778,135961
152,135972,137231
153,135972,136701
154,135972,136331
155,135972,136245
156,135991,137231
157,135991,136701
158,135991,136331
159,135991,136245
160,136063,137231
161,136063,136701
162,136063,136331
163,136063,136245
164,136289,137231
165,136682,137231
166,136787,137231
167,136855,137231
168,136855,137115
169,137047,137231
170,137047,137115
171,137067,137231
172,137067,137115
173,137266,137822
174,137266,137721
175,137266,137620
176,137309,137822
177,137309,137721
178,137309,137620
179,137409,137620
