extraction,extractedLOC,extractedMethodCC
0,177,42
1,175,42
2,176,42
3,174,42
4,174,42
5,172,42
6,172,42
7,170,42
8,170,42
9,168,42
10,169,42
11,167,42
12,167,42
13,165,42
14,166,42
15,164,42
16,164,42
17,162,42
18,163,42
19,161,42
20,162,42
21,160,42
22,161,42
23,159,42
24,160,42
25,158,42
26,159,42
27,157,42
28,158,42
29,156,42
30,157,42
31,155,42
32,156,42
33,154,42
34,155,42
35,153,42
36,154,42
37,152,42
38,153,42
39,151,42
40,152,42
41,150,42
42,149,42
43,147,42
44,145,31
45,141,21
46,139,21
47,138,21
48,135,21
49,134,21
50,133,21
51,132,21
52,131,21
53,130,21
54,126,21
55,124,21
56,122,21
57,120,21
58,118,21
59,116,21
60,110,21
61,12,2
62,109,21
63,11,2
64,108,21
65,10,2
66,106,21
67,8,2
68,97,19
69,76,7
70,56,4
71,45,4
72,75,7
73,55,4
74,44,4
75,74,7
76,54,4
77,43,4
78,70,7
79,50,4
80,39,4
81,69,7
82,49,4
83,38,4
84,68,7
85,48,4
86,37,4
87,19,2
88,65,7
89,45,4
90,34,4
91,25,3
92,20,2
93,19,2
94,16,2
95,7,1
96,64,7
97,44,4
98,33,4
99,24,3
100,19,2
101,18,2
102,15,2
103,6,1
104,63,7
105,43,4
106,32,4
107,23,3
108,18,2
109,17,2
110,14,2
111,5,1
112,58,6
113,38,3
114,27,3
115,18,2
116,13,1
117,12,1
118,9,1
119,7,1
120,57,6
121,37,3
122,26,3
123,17,2
124,12,1
125,11,1
126,8,1
127,6,1
128,56,6
129,36,3
130,25,3
131,16,2
132,11,1
133,10,1
134,7,1
135,5,1
136,50,5
137,30,2
138,19,2
139,10,1
140,47,5
141,27,2
142,16,2
143,7,1
144,46,5
145,26,2
146,15,2
147,6,1
148,45,5
149,25,2
150,14,2
151,5,1
152,40,4
153,20,1
154,9,1
155,7,1
156,39,4
157,19,1
158,8,1
159,6,1
160,38,4
161,18,1
162,7,1
163,5,1
164,32,3
165,21,3
166,18,3
167,15,3
168,12,3
169,7,1
170,4,1
171,6,1
172,3,1
173,14,3
174,13,3
175,12,3
176,12,3
177,11,3
178,10,3
179,7,2
