NestedExtraction,AncestorExtraction,CCR
1,0,16
2,0,16
3,0,16
4,0,15
5,0,15
6,0,14
7,0,12
8,0,11
9,0,10
10,0,9
11,0,8
12,0,7
13,0,6
14,0,5
15,0,4
16,0,3
17,0,2
3,1,16
4,1,15
5,1,15
6,1,14
7,1,12
8,1,11
9,1,10
10,1,9
11,1,8
12,1,7
13,1,6
14,1,5
15,1,4
16,1,3
17,1,2
3,2,16
4,2,15
5,2,15
6,2,14
7,2,12
8,2,11
9,2,10
10,2,9
11,2,8
12,2,7
13,2,6
14,2,5
15,2,4
16,2,3
17,2,2
4,3,15
5,3,15
6,3,14
7,3,12
8,3,11
9,3,10
10,3,9
11,3,8
12,3,7
13,3,6
14,3,5
15,3,4
16,3,3
17,3,2
5,4,15
6,4,14
7,4,12
8,4,11
9,4,10
10,4,9
11,4,8
12,4,7
13,4,6
14,4,5
15,4,4
16,4,3
17,4,2
6,5,14
7,5,12
8,5,11
9,5,10
10,5,9
11,5,8
12,5,7
13,5,6
14,5,5
15,5,4
16,5,3
17,5,2
7,6,12
8,6,11
9,6,10
10,6,9
11,6,8
12,6,7
13,6,6
14,6,5
15,6,4
16,6,3
17,6,2
8,7,11
9,7,10
10,7,9
11,7,8
12,7,7
13,7,6
14,7,5
15,7,4
16,7,3
17,7,2
9,8,10
10,8,9
11,8,8
12,8,7
13,8,6
14,8,5
15,8,4
16,8,3
17,8,2
10,9,9
11,9,8
12,9,7
13,9,6
14,9,5
15,9,4
16,9,3
17,9,2
11,10,8
12,10,7
13,10,6
14,10,5
15,10,4
16,10,3
17,10,2
12,11,7
13,11,6
14,11,5
15,11,4
16,11,3
17,11,2
13,12,6
14,12,5
15,12,4
16,12,3
17,12,2
14,13,5
15,13,4
16,13,3
17,13,2
15,14,4
16,14,3
17,14,2
16,15,3
17,15,2
17,16,2
