NestedExtraction,AncestorExtraction,CCR
1,0,41
2,0,41
3,0,41
4,0,41
5,0,41
6,0,37
7,0,41
8,0,41
9,0,37
10,0,41
11,0,41
12,0,37
13,0,16
14,0,14
15,0,14
16,0,14
17,0,14
18,0,14
19,0,10
20,0,10
21,0,6
22,0,6
23,0,19
24,0,16
25,0,14
26,0,14
27,0,14
28,0,14
29,0,14
30,0,10
31,0,10
32,0,6
33,0,6
34,0,4
35,0,4
36,0,3
37,0,3
38,0,3
3,1,41
5,1,41
6,1,37
8,1,41
9,1,37
11,1,41
12,1,37
13,1,16
14,1,14
15,1,14
16,1,14
17,1,14
18,1,14
19,1,10
20,1,10
21,1,6
22,1,6
23,1,19
24,1,16
25,1,14
26,1,14
27,1,14
28,1,14
29,1,14
30,1,10
31,1,10
32,1,6
33,1,6
35,1,4
36,1,3
37,1,3
38,1,3
3,2,41
4,2,41
5,2,41
6,2,37
7,2,41
8,2,41
9,2,37
10,2,41
11,2,41
12,2,37
13,2,16
14,2,14
15,2,14
16,2,14
17,2,14
18,2,14
19,2,10
20,2,10
21,2,6
22,2,6
23,2,19
24,2,16
25,2,14
26,2,14
27,2,14
28,2,14
29,2,14
30,2,10
31,2,10
32,2,6
33,2,6
34,2,4
35,2,4
36,2,3
37,2,3
38,2,3
5,3,41
6,3,37
8,3,41
9,3,37
11,3,41
12,3,37
13,3,16
14,3,14
15,3,14
16,3,14
17,3,14
18,3,14
19,3,10
20,3,10
21,3,6
22,3,6
23,3,19
24,3,16
25,3,14
26,3,14
27,3,14
28,3,14
29,3,14
30,3,10
31,3,10
32,3,6
33,3,6
35,3,4
36,3,3
37,3,3
38,3,3
5,4,41
6,4,37
7,4,41
8,4,41
9,4,37
10,4,41
11,4,41
12,4,37
13,4,16
14,4,14
15,4,14
16,4,14
17,4,14
18,4,14
19,4,10
20,4,10
21,4,6
22,4,6
23,4,19
24,4,16
25,4,14
26,4,14
27,4,14
28,4,14
29,4,14
30,4,10
31,4,10
32,4,6
33,4,6
34,4,4
35,4,4
36,4,3
37,4,3
38,4,3
6,5,37
8,5,41
9,5,37
11,5,41
12,5,37
13,5,16
14,5,14
15,5,14
16,5,14
17,5,14
18,5,14
19,5,10
20,5,10
21,5,6
22,5,6
23,5,19
24,5,16
25,5,14
26,5,14
27,5,14
28,5,14
29,5,14
30,5,10
31,5,10
32,5,6
33,5,6
35,5,4
36,5,3
37,5,3
38,5,3
9,6,37
12,6,37
13,6,16
14,6,14
15,6,14
16,6,14
17,6,14
18,6,14
19,6,10
20,6,10
21,6,6
22,6,6
23,6,19
24,6,16
25,6,14
26,6,14
27,6,14
28,6,14
29,6,14
30,6,10
31,6,10
32,6,6
33,6,6
8,7,41
9,7,37
10,7,41
11,7,41
12,7,37
13,7,16
14,7,14
15,7,14
16,7,14
17,7,14
18,7,14
19,7,10
20,7,10
21,7,6
22,7,6
23,7,19
24,7,16
25,7,14
26,7,14
27,7,14
28,7,14
29,7,14
30,7,10
31,7,10
32,7,6
33,7,6
34,7,4
35,7,4
36,7,3
37,7,3
38,7,3
9,8,37
11,8,41
12,8,37
13,8,16
14,8,14
15,8,14
16,8,14
17,8,14
18,8,14
19,8,10
20,8,10
21,8,6
22,8,6
23,8,19
24,8,16
25,8,14
26,8,14
27,8,14
28,8,14
29,8,14
30,8,10
31,8,10
32,8,6
33,8,6
35,8,4
36,8,3
37,8,3
38,8,3
12,9,37
13,9,16
14,9,14
15,9,14
16,9,14
17,9,14
18,9,14
19,9,10
20,9,10
21,9,6
22,9,6
23,9,19
24,9,16
25,9,14
26,9,14
27,9,14
28,9,14
29,9,14
30,9,10
31,9,10
32,9,6
33,9,6
11,10,41
12,10,37
13,10,16
14,10,14
15,10,14
16,10,14
17,10,14
18,10,14
19,10,10
20,10,10
21,10,6
22,10,6
23,10,19
24,10,16
25,10,14
26,10,14
27,10,14
28,10,14
29,10,14
30,10,10
31,10,10
32,10,6
33,10,6
34,10,4
35,10,4
36,10,3
37,10,3
38,10,3
12,11,37
13,11,16
14,11,14
15,11,14
16,11,14
17,11,14
18,11,14
19,11,10
20,11,10
21,11,6
22,11,6
23,11,19
24,11,16
25,11,14
26,11,14
27,11,14
28,11,14
29,11,14
30,11,10
31,11,10
32,11,6
33,11,6
35,11,4
36,11,3
37,11,3
38,11,3
13,12,16
14,12,14
15,12,14
16,12,14
17,12,14
18,12,14
19,12,10
20,12,10
21,12,6
22,12,6
23,12,19
24,12,16
25,12,14
26,12,14
27,12,14
28,12,14
29,12,14
30,12,10
31,12,10
32,12,6
33,12,6
14,13,11
15,13,11
16,13,11
17,13,11
18,13,11
19,13,8
20,13,8
21,13,5
22,13,5
15,14,8
16,14,8
17,14,8
18,14,8
19,14,6
20,14,6
21,14,4
22,14,4
16,15,8
17,15,8
18,15,8
19,15,6
20,15,6
21,15,4
22,15,4
17,16,8
18,16,8
19,16,6
20,16,6
21,16,4
22,16,4
18,17,8
19,17,6
20,17,6
21,17,4
22,17,4
19,18,6
20,18,6
21,18,4
22,18,4
20,19,4
21,19,3
22,19,3
21,20,3
22,20,3
22,21,2
24,23,16
25,23,14
26,23,14
27,23,14
28,23,14
29,23,14
30,23,10
31,23,10
32,23,6
33,23,6
25,24,11
26,24,11
27,24,11
28,24,11
29,24,11
30,24,8
31,24,8
32,24,5
33,24,5
26,25,8
27,25,8
28,25,8
29,25,8
30,25,6
31,25,6
32,25,4
33,25,4
27,26,8
28,26,8
29,26,8
30,26,6
31,26,6
32,26,4
33,26,4
28,27,8
29,27,8
30,27,6
31,27,6
32,27,4
