ExtractionA,ExtractionB
1,2
1,4
1,6
1,8
1,10
1,12
1,14
1,16
1,18
1,20
3,4
3,6
3,8
3,10
3,12
3,14
3,16
3,18
3,20
5,6
5,8
5,10
5,12
5,14
5,16
5,18
5,20
7,8
7,10
7,12
7,14
7,16
7,18
7,20
9,10
9,12
9,14
9,16
9,18
9,20
11,12
11,14
11,16
11,18
11,20
13,14
13,16
13,18
13,20
15,16
15,18
15,20
17,18
17,20
19,20
24,26
24,33
24,40
24,47
24,54
24,60
24,63
24,66
25,26
25,27
25,33
25,34
25,40
25,41
25,47
25,48
25,54
25,55
25,60
25,61
25,63
25,64
25,66
25,67
27,33
27,40
27,47
27,54
27,60
27,63
27,66
28,33
28,34
28,40
28,41
28,47
28,48
28,54
28,55
28,60
28,61
28,63
28,64
28,66
28,67
29,33
29,34
29,35
29,40
29,41
29,42
29,47
29,48
29,49
29,54
29,55
29,56
29,60
29,61
29,62
29,63
29,64
29,65
30,33
30,34
30,35
30,36
30,40
30,41
30,42
30,43
30,47
30,48
30,49
30,50
30,54
30,55
30,56
30,57
30,60
30,61
30,62
31,33
31,34
31,35
31,36
31,37
31,40
31,41
31,42
31,43
31,44
31,47
31,48
31,49
31,50
31,51
31,54
31,55
31,56
31,57
31,58
32,33
32,34
32,35
32,36
32,37
32,38
32,40
32,41
32,42
32,43
32,44
32,45
32,47
32,48
32,49
32,50
32,51
32,52
34,40
34,47
34,54
34,60
34,63
34,66
35,40
35,41
35,47
35,48
35,54
35,55
35,60
35,61
35,63
35,64
35,66
35,67
36,40
36,41
36,42
36,47
36,48
36,49
36,54
36,55
36,56
36,60
36,61
36,62
36,63
36,64
36,65
37,40
37,41
37,42
37,43
37,47
37,48
37,49
37,50
37,54
37,55
37,56
37,57
37,60
37,61
37,62
38,40
38,41
38,42
38,43
38,44
38,47
38,48
38,49
38,50
38,51
38,54
38,55
38,56
38,57
38,58
39,40
39,41
39,42
39,43
39,44
39,45
39,47
39,48
39,49
39,50
39,51
39,52
41,47
41,54
41,60
41,63
41,66
42,47
42,48
42,54
42,55
42,60
42,61
42,63
42,64
42,66
42,67
43,47
43,48
43,49
43,54
43,55
43,56
43,60
43,61
43,62
43,63
43,64
43,65
44,47
44,48
44,49
44,50
44,54
44,55
44,56
44,57
44,60
44,61
44,62
45,47
45,48
45,49
45,50
45,51
45,54
45,55
45,56
45,57
45,58
46,47
46,48
46,49
46,50
46,51
46,52
48,54
48,60
48,63
48,66
49,54
49,55
49,60
49,61
49,63
49,64
49,66
49,67
50,54
50,55
50,56
50,60
50,61
50,62
50,63
50,64
50,65
51,54
51,55
51,56
51,57
51,60
51,61
51,62
52,54
52,55
52,56
52,57
52,58
55,60
55,63
55,66
56,60
56,61
56,63
56,64
56,66
56,67
57,60
57,61
57,62
57,63
57,64
57,65
58,60
58,61
58,62
61,63
61,66
62,63
62,64
62,66
62,67
64,66
65,66
65,67
70,71
70,73
70,76
70,80
72,73
72,76
72,80
74,76
74,80
75,76
75,77
77,80
